stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,9,0,3,12,2,0,1,0,0,0,1,5,0,2,1,7,0,3,0,0
 24-34,0,0,0.82,1.64,1.64,0,0,0.82,0,0,0,0,0,0.82,0.82,0,13.13,0,3.28,20.52,0,0,4.93,0,0,0,0,0,0,0,2.46,5.75,0,4.93,0,0.82
 36-46,0,0,0,0,0.81,0.81,0.81,0.81,0.81,0,0.81,0,0,0,0,0.81,7.25,0,5.64,23.36,0,0,2.42,0,0,0,0,0,0.81,0.81,0,11.28,0,3.22,0,0
 48-58,0,0,0,0.57,0.57,3.44,0,1.15,2.3,0,0,0,0,1.15,0.57,0.57,8.03,0,0.57,12.05,0,0,5.74,0,0,0.57,0,0,0,0,0,4.02,0,1.72,0,1.15
 60-70,0,0,0,0.98,1.96,8.83,0,1.96,0.98,0,0,0,0,7.85,0,0,10.8,0,1.96,22.58,0,0.98,12.76,0,0,0,0,0,0,0,0,6.87,0,1.96,0,0.98
 72-82,0,0,0,0.98,7.85,7.85,0,1.96,0.98,0,0,0.98,0,18.65,0,0.98,14.72,0,0.98,24.54,0.98,0,26.5,0,0,0,0,0,0.98,0,0,0.98,0,4.91,0,0
 84-94,0,0,0,0,8.5,5.31,0,1.06,1.06,1.06,0,1.06,2.12,18.05,0,0,12.74,0,1.06,6.37,0,0,35.05,0,2.12,0,0,0,0,0,0,0,1.06,6.37,0,1.06
 96-106,0,0,0,2.19,9.84,1.09,0,1.09,1.09,0,0,0,0,26.23,1.09,1.09,12.02,0,0,4.37,0,2.19,52.46,0,0,0,0,0,0,0,0,0,0,13.11,2.19,1.09
108-118,0,0,0,2.3,3.83,1.53,0.77,0.77,3.83,0,0.77,0,1.53,16.85,0,6.89,7.66,0.77,0.77,13.02,0,0,39.06,0,0,0,0,0,0,0,0,0,0.77,6.89,0.77,1.53
120,0,0,0,9.8,9.8,0,0,0,3.92,0,0,0,0,13.72,0,1.96,3.92,0,0,11.76,0,0,19.6,0,1.96,0,0,0,0,0,0,1.96,0,5.88,0,0
