stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,3,0,0,0
 24-34,0,6.57,0,0,0,0,0,0,3.28,0,0,0.82,0,0,1.64,11.49,0,0,0,2.46,0,1.64,0,0,0
 36-46,0,3.22,0,0.81,0,0,0,0,3.22,0,0,1.61,0.81,0,0,5.64,0.81,0,0.81,2.42,0.81,0.81,0,0,0
 48-58,0,2.3,0,2.87,0.57,1.15,0,0,2.87,0,0,2.3,0.57,0,0,7.46,0,0,0.57,2.87,0,2.3,0,0,0.57
 60-70,0,1.96,0,4.91,0.98,0.98,3.93,0,1.96,0,0.98,1.96,0,0.98,0.98,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,1.96,0,2.94,0,0,0,0,4.91,0,0,5.89,0,0,0,12.76,0,0,0,0.98,0,0.98,0.98,0.98,0
 84-94,0,5.31,0,1.06,0,0,1.06,0,10.62,0,0,8.5,0,0,1.06,8.5,0,0,0,2.12,0,1.06,0,0,0
 96-106,0,6.56,0,1.09,0,0,2.19,1.09,14.21,1.09,0,2.19,0,0,2.19,4.37,0,2.19,2.19,2.19,0,1.09,0,1.09,0
108-118,0,7.66,0.77,0.77,0.77,0,0,2.3,6.13,0,0.77,1.53,0,0,0,0.77,0,1.53,0,3.83,0,0,0,0,0
120,0,1.96,0,1.96,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,0,0
