stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,5.26,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,2,0,0,1,14,0,0,0,0,0,6,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0.82,26.27,0.82,0,0,0,0.82,0,13.95,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,1.61,0,0,0.81,24.17,0,1.61,0,0,0,0,8.06,0,0.81,0
 48-58,0,0,0,0,9.18,0,1.72,0,0,2.3,0.57,0,0.57,19.51,0,0,0.57,0,0.57,0,1.72,0,0,0.57
 60-70,0,0,0,0,8.83,0.98,0.98,0,0.98,9.82,0,0,0,23.56,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,1.96,0,13.74,0.98,6.87,0,0,9.82,0,0,0.98,22.58,0,0,0,0,0.98,0,5.89,0,0.98,0
 84-94,0,0,1.06,1.06,9.56,0,4.25,1.06,1.06,3.19,0,0,2.12,11.68,0,1.06,1.06,0,2.12,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,6.56,0,6.56,0,0,4.37,1.09,1.09,1.09,6.56,0,1.09,0,0,1.09,0,3.28,0,0,0
108-118,0,0,3.06,0.77,11.49,0,3.06,0,0,2.3,0,0,0,6.89,0,0,0,0,0,0,0.77,1.53,0,0.77
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0
