stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,70.59,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,85.4,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0
 48-58,0.57,0,0,1.72,0,0,0,89.51,0,0,0.57,0,1.72,0,0,0,4.59,0,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,4.91,0,0.98,0,113.86,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0.98,0,133.51,0,0,0,0,3.93,0,0,0,4.91,0.98,0,0,0,0,0,0,0
 84-94,1.06,0,0,6.37,0,0,0,185.86,0,0,0,0,1.06,1.06,1.06,0,0,0,1.06,0,1.06,1.06,1.06,0,0
 96-106,1.09,0,0,2.19,0,1.09,1.09,187.97,1.09,0,1.09,0,1.09,0,0,1.09,8.74,0,1.09,0,1.09,0,2.19,1.09,1.09
108-118,1.53,0.77,0,3.06,0,0.77,0.77,152.43,0.77,0,0,0,3.06,0,0,0,6.89,0,0,0,0,0,1.53,0,0
120,5.88,1.96,1.96,1.96,0,0,1.96,274.37,0,1.96,0,0,1.96,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0
