stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1897.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,729.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,23.66,2.63,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,119.58,0,3.15,3.15,9.44,0,9.44,0,0,0,0,0,0
 14-21,0,0,6,2,34,0,0,10,0,2,0,1,0,0,0,0,11,0,0,0,2,0,0,6,102,0,1,0,2,11,1,45,0,20,61,60,0,0,0,0,0
 24-34,0,0,4.93,0.82,13.95,0,0,20.52,0,1.64,0,0.82,0,0.82,0.82,0,8.21,0,0.82,0.82,7.39,0.82,0,2.46,398.12,2.46,4.93,2.46,0,32.83,0,0,0,4.1,15.6,77.98,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,5.64,0,0,215.11,2.42,0.81,0,5.64,0.81,0,0,0,3.22,0.81,0,0.81,3.22,1.61,0,1.61,1215.75,0,4.03,0,0,30.62,0,0,0,0,0,215.92,0,0,0,0,0
 48-58,0,0,0.57,0,5.16,0,0,206.57,6.31,0.57,2.3,27.54,0,0,0,0,1.15,0.57,0,0,9.75,0.57,0,1.15,791.85,0,1.15,0,0,26.97,0,0,0,0.57,0,183.04,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,6.87,0.98,0,139.38,2.94,4.91,0.98,46.13,4.91,0,0,0,1.96,0,0,0,16.69,1.96,0,1.96,494.69,0,2.94,3.93,0,32.39,0,0,0,3.93,0,94.23,0,0.98,3.93,0,0.98
 72-82,0,0,2.94,0,5.89,0.98,0,65.77,2.94,5.89,1.96,37.3,1.96,0,0,0,1.96,0,0,0,20.61,0.98,0.98,4.91,336.71,0,8.83,3.93,0,34.36,0,0,0,2.94,0,11.78,2.94,0,7.85,0.98,0.98
 84-94,0,0,3.19,0,11.68,0,1.06,45.67,4.25,4.25,1.06,26.55,4.25,0,2.12,1.06,6.37,1.06,0,0,20.18,3.19,1.06,3.19,157.18,1.06,3.19,1.06,0,96.65,0,0,0,4.25,0,23.36,5.31,0,3.19,0,2.12
 96-106,0,0,4.37,0,6.56,0,1.09,40.44,3.28,6.56,0,27.32,4.37,0,0,1.09,5.46,1.09,2.19,0,9.84,1.09,0,3.28,123.49,0,8.74,1.09,0,73.22,1.09,0,0,2.19,0,8.74,5.46,1.09,5.46,1.09,0
108-118,0,0,1.53,0.77,18.38,0,0,24.51,1.53,5.36,1.53,26.81,4.6,0,0,3.06,3.06,0.77,1.53,0,11.49,1.53,0.77,1.53,142.47,0.77,3.83,3.06,0,73.53,0,0,0,5.36,0,7.66,0.77,0.77,0.77,0,2.3
120,0,0,0,0,19.6,0,0,15.68,0,3.92,0,15.68,0,0,0,0,5.88,0,1.96,0,3.92,0,0,0,156.78,0,0,5.88,0,43.12,0,0,0,0,0,1.96,1.96,0,1.96,0,0
