stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,35,1,0,1,0,1,2,0,18,0,0,0,0
 24-34,0,0,0,0,0,0,0,17.24,0,0,4.1,0,0,0,0.82,0,0.82,0,0,0.82,216.71,0,4.1,2.46,0,0.82,1.64,0.82,59.92,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,37.87,0,0,3.22,0,0,0,0,1.61,0,1.61,0,0,424.59,0,7.25,0,0,1.61,0.81,0,78.96,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,62.54,0,0,7.46,0,0,0,0,0,0,3.44,0.57,1.15,449.86,0,2.3,0.57,0,1.15,0,0,71.15,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,138.39,0.98,0.98,8.83,0,0,0,0,0,0,1.96,1.96,0,593.82,0.98,3.93,0.98,0,2.94,0,0,72.63,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,113.87,0,0.98,10.8,0.98,0,0.98,0,0,0,8.83,0,0,424.08,0,2.94,0.98,0,0.98,0.98,0,27.49,0.98,0,0.98,0.98
 84-94,0,0,0,0,4.25,0,0,96.65,0,0,19.12,2.12,2.12,0,0,0,0,9.56,0,0,192.23,1.06,3.19,3.19,0,1.06,0,0,20.18,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,68.85,0,0,5.46,0,0,2.19,0,1.09,0,5.46,0,0,153,0,6.56,2.19,0,2.19,0,0,6.56,0,0,0,0
108-118,0,0,0,0,2.3,0,0.77,35.23,0,0,9.19,0,0,0,0,0.77,0,2.3,0,0.77,168.51,0,1.53,2.3,0,0,0,0,3.06,0,0.77,0,0
120,0,0,0,0,3.92,0,0,25.48,0,1.96,7.84,0,1.96,0,0,1.96,0,3.92,0,1.96,133.27,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0
