stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,0,2.63,0,0,0,0,0,0,21.03,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,3,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0.82,0.82,0,0,0,3.28,0,4.1,0
 36-46,0,0,0,0,2.42,0.81,0,0,0,0.81,0.81,0,0.81,4.03,0.81,0,0,0,0,0.81,0,1.61,0
 48-58,0,0,0,0,3.44,0.57,0,0,0,0,0.57,0,0,4.59,1.15,0,0,0,0,0.57,0,2.87,0
 60-70,0,0,0,0,1.96,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,1.96,0,0,0.98,0,0,0.98,0,4.91,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,0,1.06,0,0,1.06,1.06,3.19,0,2.12,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,1.09,3.28,0,2.19,1.09,0,0,0,0,3.28,1.09,1.09,0,0,0,2.19,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0.77,1.53,0,0,1.53,0,0,0.77,1.53,0,0,0,0.77,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96
