stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,6,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,1.64,0,0,1.64,2.46,9.85,0.82,0,0,0,0,0,0,4.1,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,8.06,0,1.61,3.22,3.22,11.28,0.81,0,0,0,0,0,0,0.81,1.61,0,0.81,0,0
 48-58,0,1.72,0,0,1.15,0,0,0,0,0,1.15,0,0,0,0.57,0,21.23,0.57,1.15,2.87,4.02,7.46,0,0,0,0.57,0,0,0,0,1.72,0,1.15,0,0
 60-70,0,1.96,0,0,1.96,0,0,0,0,0,2.94,0,0,0,1.96,0,61.84,0,1.96,1.96,2.94,30.43,0,1.96,0,0,0,0,0,0,0.98,1.96,0,0,0
 72-82,0,2.94,0.98,0,10.8,0,0,0,2.94,0.98,0.98,0,0,0,0,0,194.37,0,5.89,2.94,17.67,53.01,0,1.96,0,1.96,0.98,0,0,0,0,7.85,9.82,1.96,0
 84-94,0,7.43,0,0,15.93,2.12,0,0,3.19,1.06,1.06,0,2.12,1.06,0,0,137,0,8.5,1.06,7.43,70.09,1.06,1.06,0,0,0,1.06,0,0,1.06,10.62,6.37,1.06,0
 96-106,0,4.37,0,0,19.67,3.28,0,2.19,4.37,0,2.19,2.19,1.09,0,0,0,180.32,0,4.37,5.46,17.49,52.46,1.09,2.19,0,0,4.37,1.09,0,0,0,15.3,10.93,3.28,0
108-118,0,4.6,0,2.3,6.89,0.77,1.53,2.3,3.06,0.77,2.3,0,6.89,0,0,0.77,212.17,0,9.96,5.36,23.74,67.4,0,5.36,0,0.77,0,0,0,0,0,24.51,16.85,3.06,0.77
120,1.96,3.92,0,0,7.84,0,0,1.96,1.96,0,0,0,1.96,0,0,0,190.1,0,0,5.88,19.6,80.35,0,1.96,0,0,0,0,0,0,0,11.76,19.6,5.88,0
