stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,39.53,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,110.33,18.39,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,18.4,7.89,0,0,42.06,0,0,0,0,0,0,0,0,0,544.14,262.87,0,299.67,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,28.32,0,0,47.2,0,0,0,3.15,0,0,0,0,0,827.65,88.12,0,868.56,0,3.15,0,6.29,0,0,9.44,0,0
 14-21,0,0,0,174,4,1,0,8,10,0,0,0,7,1,0,39,21,0,48,0,0,3,0,0,3,366,0,0
 24-34,0,0,0,4.93,0.82,0.82,0.82,0,0,0,0,0,0.82,0,0,48.43,0.82,0,0,0,0,0,0,0,1.64,43.51,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,0,0,0,1.61,0,0,88.62,0,0,0,0,0,0,0,0,0,17.72,0,0
 48-58,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0.57,40.74,0,0,0,0,0,0,0,0,0,29.26,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,26.5,0,1.96,0,0,0,0,0,0,0,23.56,0,0.98
 72-82,0,0,0,0,0,3.93,0,0.98,0,0,0,0,0.98,0,0,14.72,0,1.96,0,0,0,0,0,0,0,9.82,0,0
 84-94,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,7.43,0,1.06,0,0,0,0,0,0,0,10.62,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,6.56,0,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0,0.77,0.77,1.53,0,0.77,3.83,0,2.3,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96,0,0
