stage,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,periderm,spinal.cord
 10-12,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,9,0,1
 24-34,0,10.67,0,0.82,0.82,0,31.19,0,1.64
 36-46,0,27.39,0,10.47,0,0,76.54,0.81,23.36
 48-58,0.57,37.87,0.57,22.95,1.15,0.57,77.46,0,23.53
 60-70,0,21.59,0,14.72,0.98,0,33.37,0,7.85
 72-82,0,7.85,0,7.85,0.98,0,14.72,0,0.98
 84-94,0,7.43,0,5.31,0,0,27.61,0,5.31
 96-106,0,8.74,0,7.65,1.09,0,14.21,0,2.19
108-118,0,1.53,0,3.06,1.53,0,4.6,0,0
120,0,7.84,0,3.92,0,0,9.8,0,1.96
