stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,5,1,0,0,0,0,6,5,0,0,1,0,0,0,0,2,0,0,6,56,1,0,0,4,0,0,0,2,10,0,8,58,0,0,0,0,0
 24-34,0,0,0.82,11.49,13.13,0,0,3.28,0,1.64,11.49,1.64,0,0,1.64,0,2.46,3.28,0.82,12.31,0,0.82,15.6,56.64,5.75,4.93,4.1,0,0,0.82,0,0,15.6,0,8.21,38.58,0,0,0,0,0
 36-46,0,0,0,1.61,3.22,0,0,1.61,0,2.42,12.89,0,0,0,0,0.81,1.61,2.42,0.81,31.42,0,0.81,8.06,24.98,3.22,5.64,1.61,0,0,0,0,0.81,6.45,0.81,0,12.89,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,0,8.61,1.15,4.02,8.61,1.15,1.15,0,0,0.57,0.57,1.72,1.15,92.38,0,2.3,9.75,8.61,1.72,6.89,2.87,0,0,0.57,0,0,2.87,2.87,0,11.48,0,0,0,0,0
 60-70,0,0,0,0,4.91,0.98,0,16.69,0,5.89,15.7,0,0,0,0,0,0.98,0,0,157.04,0.98,0.98,7.85,19.63,3.93,7.85,3.93,0,0.98,0,0,0,1.96,0,0,12.76,1.96,0,0,0,0
 72-82,0,0,0,0.98,6.87,0,0,15.71,0.98,4.91,52.03,0,1.96,0,0,0.98,2.94,1.96,0.98,252.29,1.96,0.98,5.89,23.56,2.94,24.54,8.83,0,0,1.96,0,0,2.94,0.98,0,11.78,7.85,0,5.89,0,0.98
 84-94,0,0,0,1.06,10.62,0,0,23.36,0,2.12,44.61,1.06,0,0,2.12,2.12,2.12,4.25,2.12,145.5,0,1.06,5.31,10.62,3.19,8.5,5.31,0,0,13.81,0,0,6.37,0,0,6.37,16.99,0,2.12,1.06,0
 96-106,0,0,1.09,0,5.46,0,1.09,13.11,1.09,2.19,49.18,1.09,5.46,0,1.09,0,2.19,1.09,1.09,91.8,0,2.19,3.28,15.3,2.19,16.39,14.21,0,1.09,5.46,1.09,0,2.19,0,0,8.74,27.32,0,3.28,1.09,2.19
108-118,0,0,0,0,5.36,0.77,0.77,13.79,0,3.06,36.77,1.53,0.77,1.53,3.83,1.53,3.83,5.36,2.3,51.32,0.77,0.77,1.53,15.32,2.3,16.85,9.96,0,0,1.53,0,0,7.66,0,0,3.83,29.87,1.53,5.36,1.53,1.53
120,0,0,0,0,5.88,0,1.96,21.56,0,0,23.52,1.96,1.96,0,7.84,1.96,0,3.92,0,37.24,0,0,0,19.6,0,17.64,9.8,0,0,0,0,0,1.96,0,0,3.92,17.64,1.96,0,0,0
