stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1831.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,55.17,269.7,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,33.66,0,0,0,0,0,0.82,0,0,0,11.49,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.15,0,0,0,0,0,0,0.81,0,0,21.75,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,53.94,0.57,0,4.59,0.57,0,0,0,0,0,0,2.87,0,0,0.57,130.83,0,0,0,0,0,0,0,0,0,12.62,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,229.68,0,0.98,29.45,0,0,0,0.98,0,0,0.98,12.76,0,0,0,416.17,0,0,0.98,0,0.98,0,0,1.96,0,14.72,0,0,0,0,1.96
 72-82,0,0,0.98,0,1.96,0,326.89,0,1.96,56.94,0,0,0,0,0.98,0.98,0,14.72,0,0.98,1.96,542.86,0,0.98,0,0,0,1.96,0,8.83,0,12.76,0,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,0,237.9,1.06,2.12,45.67,0,0,1.06,0,0,0,0,9.56,0,2.12,1.06,276.13,0,0,2.12,0,0,0,0,8.5,0,9.56,0,0,0,1.06,0
 96-106,0,0,0,2.19,13.11,1.09,175.95,0,2.19,44.81,3.28,0,0,0,1.09,0,0,5.46,0,0,1.09,281.95,0,1.09,2.19,0,0,1.09,0,17.49,0,5.46,0,0,0,0,0
108-118,0,0,0,0,9.19,0,183.83,0,2.3,45.19,0,0,0,0,0,0,0,9.96,0,0,1.53,330.13,0.77,0.77,0,0,0,1.53,0,21.45,0,3.83,0.77,0.77,3.06,0.77,0
120,0,0,0,0,7.84,0,180.3,1.96,0,47.03,3.92,0,0,0,1.96,0,0,5.88,1.96,3.92,1.96,401.76,0,1.96,0,0,1.96,1.96,0,13.72,0,9.8,0,0,1.96,0,0
