stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,6,0,0,0,0,0,0,1,3,2,0,0,0,0,11,0,0,1,10,0,0,0,0,17,1,0,0,7,3,0,0,0,0,0
 24-34,1.64,0.82,0,1.64,0,0,0,0,4.1,8.21,9.85,0,0,0.82,0,8.21,3.28,0.82,0.82,9.85,0,0,0,0,14.78,0,0,0.82,0,3.28,0,0,4.93,0,0.82
 36-46,3.22,0,0,0.81,0.81,0.81,0,0.81,2.42,8.06,4.83,0,0.81,0,0.81,3.22,0.81,1.61,0,8.86,0.81,0,0,0,12.89,0,0.81,0.81,0,1.61,0,0,4.03,0,1.61
 48-58,1.72,0,1.15,1.15,0.57,0.57,0,0.57,2.3,12.05,1.15,0,0,0,2.3,10.33,0.57,1.15,0,18.36,1.15,0,0,0,11.48,0,0,0,0,3.44,0,0,3.44,0,2.3
 60-70,6.87,0,1.96,3.93,0.98,1.96,0,0,0,20.61,3.93,0,0,0,0,12.76,0,6.87,0.98,20.61,0,0,0,0,9.82,0,0,0,0,1.96,0,1.96,6.87,2.94,0.98
 72-82,6.87,0,10.8,3.93,0,3.93,0.98,0,3.93,23.56,8.83,0.98,0,0,2.94,23.56,0.98,9.82,2.94,47.12,0.98,0,0,0.98,41.23,0,0,0,0,0.98,0,5.89,11.78,12.76,1.96
 84-94,8.5,0,5.31,2.12,0,1.06,2.12,1.06,4.25,36.11,10.62,1.06,0,0,7.43,9.56,0,9.56,0,18.05,2.12,0,0,0,83.9,0,1.06,0,0,1.06,2.12,3.19,9.56,12.74,2.12
 96-106,8.74,0,6.56,6.56,4.37,4.37,1.09,0,3.28,43.71,12.02,0,1.09,0,4.37,15.3,1.09,2.19,2.19,40.44,6.56,1.09,0,0,120.21,0,0,0,0,1.09,0,10.93,8.74,12.02,2.19
108-118,17.62,0.77,3.06,3.83,0.77,10.72,0.77,0,0.77,42.89,18.38,0.77,0.77,0,11.49,15.32,2.3,3.06,0.77,32.94,0.77,0,0,0.77,65.11,0,0,0,0,0,0.77,3.83,3.83,7.66,1.53
120,17.64,0,7.84,0,1.96,21.56,0,0,3.92,62.71,5.88,0,1.96,0,1.96,15.68,1.96,1.96,1.96,43.12,5.88,0,0,0,80.35,0,0,0,0,3.92,0,1.96,3.92,15.68,1.96
