stage,blastomeres,epidermis,eye,fast.muscle,gut,liver,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,0,0,3.22,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,1.09,0,0,1.09,0,1.09,1.09,1.09,0,0,0,2.19
108-118,0,0,0,1.53,0.77,0,0,1.53,1.53,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
