stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1541.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,11,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,4,40,0,0,1,0,3,4,2,3,11,0,0,11,0,0
 24-34,0,0,0,0,2.46,0.82,0,11.49,0,0,0.82,2.46,0,0,2.46,0,0,0,1.64,0,0,4.1,0,0,3.28,45.97,0,0,0.82,0,8.21,0.82,7.39,1.64,9.03,0,0,45.97,0,0.82
 36-46,0,0,0,0,2.42,0,0,8.06,0,0,0,12.89,0,0,0,0.81,0,0,0,0,0,4.83,0,0.81,2.42,39.48,0,0,0,0,0.81,1.61,2.42,0,4.03,0,0,40.28,0,0.81
 48-58,0,0,0,0,1.72,1.15,0,24.67,0,1.15,0.57,37.3,0.57,0,3.44,0,1.15,0.57,0.57,0,0.57,19.51,0,0.57,1.15,37.87,0,0,1.15,0,1.15,0,0.57,0,9.75,0,0,51.07,0,2.3
 60-70,0,0,0,0,0.98,0.98,0,16.69,1.96,4.91,0.98,124.65,2.94,0,0.98,0,0,0,0.98,0,0,26.5,0,0.98,3.93,62.82,1.96,0,0,0,2.94,0,0.98,0,18.65,0,0,53,0,0
 72-82,0,0,0,0,4.91,8.83,0,51.05,0,2.94,1.96,247.38,3.93,0,1.96,1.96,0,0,1.96,1.96,0,35.34,0.98,0,1.96,75.59,0,0.98,1.96,0,1.96,0,0.98,0,7.85,1.96,2.94,98.17,0.98,0.98
 84-94,0,0,1.06,0,5.31,14.87,2.12,35.05,0,2.12,0,148.69,4.25,0,0,1.06,0,1.06,2.12,0,1.06,40.36,1.06,0,1.06,39.3,1.06,2.12,3.19,0,3.19,0,4.25,0,4.25,1.06,1.06,88.15,1.06,0
 96-106,0,0,1.09,0,6.56,14.21,0,33.88,0,2.19,3.28,149.72,6.56,0,2.19,5.46,0,0,1.09,0,1.09,37.16,0,2.19,2.19,49.18,0,1.09,2.19,0,3.28,0,7.65,0,8.74,2.19,1.09,109.28,2.19,0
108-118,0,0,1.53,0.77,12.26,8.43,2.3,22.21,0,5.36,1.53,152.43,4.6,0,1.53,3.83,0.77,0.77,1.53,2.3,1.53,38.3,0,1.53,2.3,60.51,0,0.77,3.06,0,6.13,0,4.6,0,6.89,3.06,2.3,70.47,1.53,1.53
120,0,0,3.92,0,25.48,5.88,0,17.64,1.96,5.88,3.92,82.31,0,0,3.92,0,0,0,0,0,0,31.36,0,0,5.88,54.87,3.92,0,1.96,0,3.92,0,5.88,0,3.92,0,0,54.87,0,0
