stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,1,0,1,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,8.21,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,23.36,0,0,0,0,0,0,0,8.86,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,0.57,0,1.15,0,17.21,0,0,0,0,0,0,0,8.61,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,1.96,0,5.89,0,0,0,0,0,0,0,4.91,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0,0.98,4.91,0,1.96,0
 84-94,0,0,0,1.06,0,3.19,0,0,0,1.06,1.06,1.06,6.37,0,1.06,0,0,0,0,0,1.06,1.06,2.12,0
 96-106,0,0,0,1.09,0,0,1.09,1.09,0,1.09,2.19,0,6.56,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,0,0,0,0,1.53,0,6.13,0,0,0.77,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
