stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,34.17,0,2.63,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,44.06,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,10,0,0,0,4
 24-34,0,0,2.46,0,0,0,0,0,27.09,0,0,0,4.93
 36-46,0,0,4.03,0,0,0.81,0,0,49.95,0.81,0,0,4.03
 48-58,0,0,8.03,0,1.72,1.15,0,0,52.79,0,0,0.57,5.74
 60-70,0,0,8.83,0.98,1.96,0,0,0,65.76,0,0,0,4.91
 72-82,0,0,5.89,0.98,0.98,0.98,0,0,60.86,2.94,0,0,6.87
 84-94,0,0,5.31,0,0,1.06,0,0,27.61,0,0,0,2.12
 96-106,0,0,2.19,0,3.28,0,0,0,22.95,0,0,0,0
108-118,0,0,4.6,0.77,0.77,0.77,0,0,22.21,0,0,0,0.77
120,0,0,1.96,0,0,0,1.96,0,11.76,1.96,0,0,1.96
