stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,6,3,5,0,0,2,3,1,0,0,0,0,0,5,0,0,2,52,3,0,1,2,0,1,7,0,10,26,0,0,0,0,0
 24-34,0.82,6.57,0,9.03,0,0,1.64,0,0.82,0,0,0,0,0,7.39,0,0,3.28,73.06,0,0.82,0,0,0,4.1,0,0.82,3.28,22.16,0,0,3.28,0,0
 36-46,0,0.81,0,12.09,0,0,4.03,0,0,0,0,0.81,0.81,0,8.86,0,0,0.81,58.81,0,0,0.81,0,0,0.81,0,0,0,15.31,0,0,1.61,0,0
 48-58,0,1.15,0,9.75,0,0.57,4.59,0,1.15,0.57,0.57,0,0,0,9.75,0,0,3.44,26.4,0.57,0.57,0.57,0,0,0.57,0,0,0,10.33,0,0,1.72,0,0
 60-70,0,5.89,0,7.85,0,0,3.93,0,0.98,0,0,0,0,0,5.89,0,0,0.98,46.13,0,0,0,0,0.98,1.96,0,0.98,0,9.82,0,0,0.98,0,0.98
 72-82,0,4.91,0,24.54,0,1.96,8.83,1.96,0.98,0,0.98,0,0,0.98,21.6,0,0,1.96,51.05,0,1.96,0.98,0,0.98,1.96,0,0,0,2.94,0,0,0.98,0.98,0.98
 84-94,0,4.25,0,10.62,1.06,0,2.12,2.12,0,0,0,0,1.06,0,11.68,0,0,0,27.61,0,0,1.06,0,0,2.12,0,1.06,0,2.12,0,0,2.12,0,0
 96-106,0,1.09,1.09,5.46,1.09,0,10.93,2.19,3.28,1.09,0,0,1.09,0,8.74,0,0,1.09,15.3,0,1.09,3.28,0,0,0,0,0,0,3.28,0,1.09,2.19,0,0
108-118,0,3.83,0.77,10.72,0,0,5.36,1.53,0,1.53,0,0.77,1.53,0,8.43,1.53,0.77,0.77,26.04,0,0,0.77,0,0,2.3,0,0.77,0,0.77,0.77,0.77,1.53,0.77,0
120,0,9.8,1.96,3.92,1.96,0,7.84,3.92,1.96,0,1.96,0,1.96,0,5.88,0,1.96,0,29.4,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
