stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,5,91,15,0,14,0,2,0,6,5,0,1,0,2,0,0,0,1,30,0,0,29,274,12,2,2,3,0,25,1,16,6,2,31,104,0,0,9,0,0
 24-34,0.82,1.64,60.74,0.82,0,47.61,0,9.03,1.64,13.95,0,0,2.46,2.46,14.78,0.82,4.93,1.64,2.46,66.49,0,0,32.83,709.22,9.03,16.42,12.31,0,0.82,80.44,0,0,6.57,2.46,13.13,187.98,0,0,32.01,0,3.28
 36-46,1.61,0,31.42,2.42,0,97.49,1.61,4.83,4.03,49.15,0,0,1.61,3.22,1.61,0,3.22,0.81,3.22,101.51,2.42,0,22.56,880.6,6.45,10.47,9.67,0,0,59.62,0,0,5.64,1.61,0.81,226.39,0,0,20.95,0,2.42
 48-58,0,0,29.26,0,0,227.23,4.59,4.02,3.44,84.35,1.15,1.15,6.31,5.74,3.44,1.15,4.59,1.72,1.72,168.7,4.02,1.72,26.97,854.97,6.31,12.05,7.46,0,0.57,44.18,0,0,4.02,3.44,0,227.23,0,0,24.1,0,8.03
 60-70,0.98,0,27.48,0.98,0,419.11,2.94,11.78,12.76,104.04,0,1.96,2.94,5.89,3.93,2.94,4.91,0.98,1.96,183.54,2.94,4.91,18.65,800.92,3.93,2.94,8.83,0,1.96,52.02,0,0,4.91,5.89,0,141.34,0,3.93,24.54,0.98,1.96
 72-82,2.94,0,49.08,16.69,0,355.36,3.93,7.85,11.78,124.67,5.89,0.98,7.85,19.63,5.89,1.96,9.82,0.98,2.94,245.42,4.91,8.83,26.5,692.07,3.93,22.58,11.78,0,1.96,51.05,0,0,3.93,0.98,0,79.51,2.94,10.8,53.99,10.8,4.91
 84-94,2.12,0,72.22,14.87,0,230.46,2.12,15.93,9.56,91.34,7.43,0,4.25,25.49,20.18,5.31,6.37,2.12,9.56,142.31,2.12,12.74,21.24,321.8,5.31,7.43,16.99,0,4.25,131.69,0,0,7.43,7.43,0,33.99,5.31,5.31,40.36,11.68,9.56
 96-106,1.09,0,73.22,14.21,1.09,210.92,5.46,24.04,4.37,91.8,14.21,0,5.46,31.69,10.93,3.28,8.74,3.28,5.46,156.28,4.37,5.46,10.93,310.37,3.28,22.95,18.58,0,4.37,147.53,0,0,3.28,0,0,14.21,4.37,6.56,39.34,7.65,7.65
108-118,0.77,0,82.72,9.19,4.6,134.04,3.06,27.57,7.66,62.81,10.72,0,3.06,24.51,19.15,8.43,4.6,4.6,6.13,126.38,6.13,9.19,14.55,309.45,3.83,10.72,15.32,0,3.06,116.43,0,0,9.96,3.83,0,9.96,9.96,2.3,43.66,6.89,10.72
120,0,0,101.91,3.92,3.92,103.87,0,11.76,3.92,74.47,19.6,0,5.88,23.52,11.76,3.92,5.88,3.92,3.92,80.35,7.84,7.84,11.76,292.01,9.8,11.76,13.72,0,3.92,86.23,0,0,1.96,1.96,0,11.76,11.76,0,39.2,7.84,3.92
