stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,171,0,6,1,0,0,0,0,0,102,0,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,44.33,0,0,0,1.64,0,0,0,1.64,0,0,0,0,3.28,0,0.82,2.46,964.51,0,35.3,0.82,0,0,3.28,0,0,240.51,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,416.53,0,0,0.81,16.11,0,2.42,0,0,0,0,0.81,0,8.06,0.81,0,2.42,2603.92,0.81,49.15,0.81,0,0,2.42,0,0,514.82,0,0,2.42,0,0
 48-58,0,0,0,0,10.9,1.72,0,1037.44,1.72,1.72,1.72,43.61,0,0,0,0,0.57,0.57,0,0.57,28.69,0,2.87,9.75,3289.05,0,37.87,1.72,0,1.15,5.16,0,0,626.59,0,0,2.87,0,3.44
 60-70,0,0,1.96,0,5.89,0,0,1571.42,0,0.98,0.98,81.47,0,0,1.96,0,0,1.96,0,1.96,32.39,0,4.91,2.94,3858.36,1.96,22.58,0.98,0,0.98,5.89,0.98,0,597.75,0,0.98,3.93,0,2.94
 72-82,0,0,2.94,0,22.58,2.94,0,1412.61,0,0.98,4.91,113.87,4.91,1.96,2.94,1.96,3.93,0,3.93,0.98,63.81,0,0.98,7.85,3375.94,0,53.01,2.94,0,0,7.85,0,0,316.1,0.98,2.94,12.76,2.94,6.87
 84-94,0,0,1.06,0,39.3,4.25,0,795.47,1.06,2.12,1.06,107.27,2.12,3.19,3.19,1.06,3.19,1.06,1.06,0,54.16,0,2.12,3.19,1500.66,2.12,23.36,1.06,0,0,10.62,0,1.06,174.17,1.06,5.31,6.37,2.12,3.19
 96-106,0,0,2.19,0,19.67,12.02,0,537.68,0,1.09,2.19,78.68,0,1.09,2.19,1.09,1.09,0,2.19,0,50.27,2.19,2.19,3.28,1277.54,1.09,36.06,3.28,0,0,14.21,1.09,1.09,77.59,1.09,2.19,7.65,3.28,3.28
108-118,0,0,0,0,18.38,2.3,2.3,399.83,1.53,1.53,3.06,71.23,1.53,0,1.53,0.77,0,0.77,0,0,21.45,1.53,0.77,1.53,1485.97,0,26.81,1.53,0,0,6.13,0,0,52.09,3.06,1.53,6.89,0,1.53
120,0,0,0,0,41.16,1.96,3.92,305.73,0,1.96,1.96,99.95,1.96,0,3.92,0,0,1.96,1.96,0,37.24,5.88,1.96,5.88,1726.57,0,19.6,1.96,0,0,11.76,1.96,0,86.23,0,1.96,3.92,0,0
