stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,294.22,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.21,0,0,0,136.69,7.89,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.17,3.15,0,0,113.29,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,39,2,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,1,156,1,3,2,12,18,4,2,0,4,171,0,2,0
 24-34,0,0,0,0.82,136.26,0.82,0,9.85,0,13.13,0,37.76,0.82,0,1.64,0,0.82,0,7.39,0.82,0,4.93,0.82,0,3.28,240.51,0,9.85,9.03,0,95.22,0,18.06,0,2.46,151.04,0,36.12,0
 36-46,0,0,0,0,105.54,0,0,7.25,0,20.95,0,53.17,0.81,0,0,0,0,0,1.61,0,0.81,1.61,3.22,0.81,0,197.39,0,3.22,4.83,0,73.32,0,11.28,0,0,223.98,0,46.73,0
 48-58,0,0,0,0,110.17,0,0,17.21,0,44.18,0.57,103.28,0,0.57,0,1.15,0,0,4.59,0.57,0.57,4.59,2.3,0,0.57,129.68,0,4.59,6.31,0,44.18,0,7.46,0.57,0,193.37,0,62.54,0.57
 60-70,0,0,0,0,124.65,0.98,0,30.43,1.96,56.93,0.98,121.71,0,0,0.98,0.98,0,0,10.8,0.98,0,13.74,3.93,0,1.96,121.71,1.96,2.94,4.91,0,47.11,0,12.76,0,0,72.63,0,43.19,3.93
 72-82,0,0,0.98,0,107,0.98,0,61.84,0.98,44.17,0.98,173.75,2.94,0,0.98,2.94,1.96,0,11.78,0,1.96,43.19,1.96,0,0.98,107,0,2.94,15.71,0,24.54,0,13.74,0.98,0,13.74,4.91,100.13,0.98
 84-94,0,0,0,1.06,201.79,0,0,60.54,8.5,77.53,0,124.26,2.12,0,0,2.12,5.31,1.06,12.74,1.06,4.25,28.68,3.19,0,0,64.78,0,10.62,24.43,0,97.71,0,30.8,0,0,16.99,9.56,65.85,0
 96-106,0,0,0,0,179.23,1.09,1.09,73.22,8.74,66.66,1.09,98.36,6.56,0,1.09,5.46,4.37,0,15.3,3.28,0,25.14,2.19,0,2.19,68.85,0,9.84,19.67,0,79.78,0,22.95,0,0,6.56,24.04,88.52,1.09
108-118,0,0,0,0,174.64,0,0,72.77,5.36,112.6,0.77,88.85,8.43,0,0,6.89,5.36,1.53,10.72,0.77,0.77,15.32,1.53,0.77,1.53,52.09,0,6.89,21.45,0,64.34,0,19.92,0,0,7.66,45.96,55.92,0
120,0,0,0,0,137.18,0,0,39.2,9.8,58.79,0,74.47,5.88,0,0,11.76,1.96,0,7.84,0,0,27.44,3.92,0,0,52.91,0,5.88,17.64,0,54.87,0,21.56,0,0,11.76,13.72,72.51,0
