stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,27,3,0,6,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,3,185,12,0,59,1,0,1,2,0,1,11,27,0,0,2,0,0
 24-34,0,0,0,0,4.1,3.28,0,2.46,0,0.82,0,3.28,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,201.11,12.31,0,14.78,0,0,0.82,0,0,0,0,24.63,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,4.03,0,6.45,0,0,0.81,15.31,0,0,0,0.81,4.03,0.81,0,4.03,9.67,0,0.81,0.81,352.88,14.5,0,30.62,0,0,3.22,0,1.61,0,0,37.87,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.87,0,0,65.41,0,1.15,0.57,26.97,0,0,0,0,9.75,0.57,0.57,9.18,23.53,0,1.15,3.44,386.74,2.3,0,37.3,0,0.57,1.72,0,0.57,1.15,0,56.81,0,0,5.74,0,2.3
 60-70,0,0,0.98,0,5.89,0.98,0,144.28,0,0,0,84.41,0,0.98,0.98,0,16.69,0.98,0.98,10.8,70.67,0,0,3.93,370.03,3.93,0.98,53,0,0,0.98,0,0.98,0.98,0,83.43,0,0,11.78,0,2.94
 72-82,0,0,0,0,22.58,2.94,0,178.66,0,1.96,1.96,164.92,0,4.91,15.71,0.98,9.82,0,0.98,2.94,79.51,1.96,1.96,3.93,292.54,2.94,1.96,99.15,0,0.98,1.96,0,0,0,0,58.9,0.98,1.96,18.65,1.96,1.96
 84-94,0,0,0,0,61.6,1.06,0,110.45,1.06,9.56,4.25,121.07,3.19,5.31,19.12,1.06,22.3,0,1.06,5.31,74.34,0,2.12,4.25,183.73,3.19,3.19,112.58,0,0,11.68,0,0,0,0,39.3,2.12,2.12,16.99,3.19,13.81
 96-106,0,0,0,0,118.03,2.19,0,99.45,3.28,10.93,2.19,233.87,3.28,3.28,29.51,1.09,20.76,1.09,2.19,6.56,74.31,3.28,6.56,3.28,194.53,3.28,4.37,149.72,0,2.19,9.84,0,0,0,0,10.93,0,2.19,30.6,4.37,20.76
108-118,0,0,0,0,86.55,2.3,0.77,81.19,0.77,18.38,3.83,193.79,2.3,6.13,48.26,3.06,70.47,2.3,4.6,12.26,56.68,3.83,6.13,9.96,208.34,9.96,2.3,155.49,0,2.3,9.96,0,0.77,0,0,18.38,0.77,1.53,26.81,9.19,35.23
120,0,0,0,0,52.91,3.92,1.96,56.83,0,7.84,1.96,137.18,3.92,11.76,39.2,5.88,27.44,3.92,1.96,3.92,41.16,0,3.92,9.8,237.13,3.92,0,94.07,0,7.84,5.88,0,0,0,0,11.76,3.92,1.96,11.76,3.92,7.84
