stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,2.63,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,75.53,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,3,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,1,11,0,0,0,0,0,3,0,1,4,11,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,4.1,0,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0.82,37.76,0,0,0,0,0.82,0,0,0,0,10.67,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,10.47,0.81,1.61,2.42,0,0.81,0.81,0,0,0,0,1.61,0,0,1.61,28.2,0.81,0.81,0,0,0.81,0,0,0.81,0,12.89,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,12.05,0,0,4.59,0,0,0.57,0,0,0,0,4.59,0,0,1.15,21.23,0.57,0,0.57,0,1.15,0,0,0,0,4.02,0,0.57,0
 60-70,0,0,0,0,1.96,0.98,0,16.69,0,1.96,6.87,0,0,0,0.98,0.98,0,0,3.93,0,0,0,16.69,0,0,0,0,1.96,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0,3.93,0,0,10.8,0,0,3.93,0,0.98,0,0,0,0,0,4.91,0,0,0,18.65,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,5.31,1.06,0,15.93,0,0,2.12,1.06,0,1.06,1.06,1.06,2.12,0,6.37,1.06,2.12,0,9.56,0,2.12,0,0,1.06,0,0,0,0,3.19,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,6.56,0,1.09,3.28,0,0,1.09,0,0,1.09,0,5.46,0,0,1.09,10.93,0,1.09,0,0,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0.77,1.53,7.66,0,0,6.13,0,0.77,0.77,0.77,0.77,0.77,1.53,5.36,0,0,0.77,6.13,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,7.84,1.96,0,3.92,0,0,5.88,1.96,5.88,0,0,0,1.96,0,5.88,0,0,1.96,9.8,0,0,0,0,3.92,0,0,0,0,0,0,0,0
