stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,79.07,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,24.52,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,182.52,3.15,0,0,66.09,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,21,6,17,0,0,7,0,0,0,0,0,0,0,0,0,16,0,0,9,233,5,2,6,0,0,6,1,22,2,1,22,74,0,6,0
 24-34,0,0,0,0,7.39,3.28,42.68,0.82,0,9.03,0,0,0.82,0,0.82,0,0,0,0.82,34.48,0,0,8.21,375.95,0,0.82,2.46,0,0,8.21,0,0,0.82,0,0,82.91,0,6.57,0
 36-46,0,0,0,0,0,0,77.34,0,0,4.03,0,0,0,2.42,0,0,0,0,0.81,29,0,0.81,10.47,201.42,0,4.03,0,0,0,6.45,0,0,0,0,0,57.2,0,3.22,0.81
 48-58,0,0,0,0,3.44,0.57,78.61,1.72,0.57,10.33,0,0,1.72,1.15,0,0,0.57,0.57,1.15,43.04,0,2.3,5.74,88.94,0,1.72,1.72,0,0,1.15,0,0,0,0,0,17.21,0,1.72,1.72
 60-70,0,0,0,0,4.91,0,70.67,0.98,0.98,7.85,1.96,0,0.98,0,0,0.98,0,0,0,26.5,0,2.94,3.93,64.78,0.98,0,0,0,0,0.98,0,0,0,0,0,1.96,0,1.96,0
 72-82,0,0,0,0,2.94,0,27.49,0,0,15.71,0.98,0,0.98,0,0,0,0,0,0,55.95,0.98,2.94,3.93,66.75,0.98,1.96,1.96,0,0,0.98,0,0,0,0,0,2.94,0,4.91,0
 84-94,0,0,0,0,8.5,1.06,24.43,0,1.06,9.56,1.06,0,0,2.12,0,0,0,0,0,48.85,0,2.12,10.62,49.92,0,0,1.06,0,0,5.31,0,0,0,0,0,0,0,4.25,1.06
 96-106,0,0,1.09,0,5.46,0,20.76,0,0,5.46,2.19,0,0,2.19,0,0,0,0,1.09,21.86,0,0,1.09,36.06,0,0,1.09,0,0,5.46,0,0,1.09,0,0,1.09,0,3.28,0
108-118,0,0,0,0,8.43,3.06,20.68,1.53,0.77,16.85,3.83,0,0.77,2.3,0,1.53,0,0,0,20.68,0,3.06,5.36,56.68,0,3.06,3.83,0,0,3.83,0,0,0,0,0,0.77,0,2.3,0
120,0,0,0,0,3.92,5.88,17.64,0,0,13.72,5.88,0,0,5.88,0,0,0,1.96,0,7.84,0,0,7.84,58.79,1.96,0,3.92,0,1.96,1.96,0,0,0,0,0,0,1.96,5.88,0
