stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,72.38,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,81,39,409,0,23,0,0,0,0,53,8,0,0,1,0,1,0,55,0,0,22,366,2,0,0,1,0,1,56,0,3,525,17,0,0,128,0,0
 24-34,0,0.82,0,28.73,6.57,38.58,0,15.6,0.82,0,1.64,0.82,22.16,21.34,0,0.82,0.82,3.28,2.46,0,104.25,1.64,0.82,38.58,270.88,2.46,0.82,0,0,0,1.64,0.82,0,0.82,73.06,38.58,0,0,443.26,0,0.82
 36-46,0,0,0,2.42,6.45,7.25,0,4.83,0,0,4.03,1.61,4.83,18.53,0,0,0.81,3.22,2.42,0,170,0,0.81,27.39,66.87,4.83,0.81,0,0,0,0,0,0,0,0,14.5,0,0,286.01,0,0
 48-58,0,0,0,0.57,0,3.44,0,10.33,0.57,0.57,10.9,3.44,3.44,25.25,0,0,0.57,2.87,3.44,0,258.21,0,1.72,27.54,33.28,1.72,0.57,0.57,0,0,1.15,0,0,0,0,8.61,0,0,222.06,0,0.57
 60-70,0,0,0,0,2.94,2.94,0,13.74,2.94,0,5.89,5.89,7.85,23.56,0.98,0,1.96,2.94,1.96,0,314.09,0,8.83,26.5,19.63,0.98,0,0,0,0.98,1.96,0,0.98,0,0,1.96,0,3.93,203.18,0,0
 72-82,0,0,0,0.98,2.94,0.98,0,26.5,0,0.98,16.69,13.74,3.93,51.05,0.98,0,0,2.94,1.96,0,407.39,0,26.5,46.14,42.21,0,0,1.96,0,1.96,0.98,0,0,0,0,1.96,0.98,16.69,366.16,4.91,0
 84-94,0,0,1.06,0,6.37,0,0,31.86,1.06,2.12,18.05,10.62,8.5,27.61,0,1.06,2.12,2.12,0,0,327.11,0,20.18,40.36,15.93,1.06,0,1.06,0,2.12,0,0,1.06,0,0,0,0,6.37,358.97,3.19,0
 96-106,0,0,1.09,0,18.58,3.28,0,32.79,2.19,0,6.56,7.65,2.19,62.29,2.19,0,1.09,1.09,0,0,318.02,0,36.06,41.53,42.62,0,0,1.09,0,6.56,2.19,0,3.28,0,0,0,0,6.56,433.86,8.74,1.09
108-118,0.77,0,0,0.77,6.13,3.06,1.53,13.79,1.53,2.3,5.36,3.06,0,28.34,0.77,0,1.53,3.06,2.3,0,334.73,0,18.38,32.17,29.87,1.53,0,0,0,11.49,1.53,0,2.3,0.77,0,0,1.53,6.13,343.92,3.06,0.77
120,0,0,0,0,7.84,5.88,0,7.84,5.88,0,3.92,0,1.96,39.2,0,0,3.92,0,0,1.96,166.58,0,15.68,31.36,31.36,0,0,0,0,5.88,1.96,0,0,0,0,0,1.96,7.84,327.28,7.84,0
