stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,123.55,0,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,220.29,0,0,0,66.09,3.15,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,29,9,0,10,0,1,0,1,1,3,1,1,0,0,1,0,16,0,0,8,109,3,0,0,1,2,28,3,1,43,38,0,0
 24-34,0,0,0,0.82,5.75,4.1,0,10.67,0,0,0,2.46,0.82,0,0,0.82,0.82,0,0,0.82,9.85,0.82,0,7.39,85.37,0.82,0.82,1.64,0,4.93,0,0,0,6.57,28.73,2.46,0.82
 36-46,0,0,0,0,2.42,2.42,0,3.22,0,0,0.81,2.42,0,0,0,0,0,0,0,0.81,4.83,0,0,0,64.45,0,0,0,0,6.45,0,0,0,0,12.09,0.81,0.81
 48-58,0,0,0,0,4.02,0.57,0,5.16,0,0,1.15,4.59,0,0,1.15,0,0.57,0,0.57,1.72,4.59,0.57,0,0.57,44.18,0,1.15,0.57,0,4.02,0,0,0,0,13.77,0,1.72
 60-70,0,0,0,0,6.87,0,0,12.76,0,0,0,4.91,0,0,0,0.98,0,0,0,0,2.94,1.96,0,1.96,51.04,0,0.98,0,0,4.91,0,1.96,0,0,2.94,0,0.98
 72-82,0,0,0,0,3.93,3.93,0,25.52,0,0,0.98,16.69,0,0.98,3.93,0,0,0,0.98,0.98,13.74,0,0,1.96,38.28,0,4.91,0,0,2.94,0,0.98,0,0,3.93,2.94,0
 84-94,0,0,0,0,13.81,3.19,0,18.05,0,3.19,0,14.87,0,0,0,6.37,0,2.12,0,0,6.37,1.06,0,6.37,23.36,0,2.12,0,0,10.62,0,0,0,0,4.25,1.06,4.25
 96-106,0,0,1.09,0,13.11,4.37,0,9.84,0,1.09,0,14.21,0,0,5.46,2.19,1.09,3.28,4.37,1.09,10.93,2.19,1.09,3.28,21.86,0,4.37,3.28,0,14.21,0,1.09,0,0,2.19,5.46,2.19
108-118,0,0,0,0,17.62,5.36,3.06,5.36,0,3.06,0,15.32,1.53,0,3.06,1.53,3.06,1.53,2.3,0,7.66,1.53,0,3.83,19.92,0.77,1.53,0.77,0,15.32,0,0.77,0,0,0.77,2.3,0.77
120,0,0,0,0,23.52,1.96,0,5.88,1.96,1.96,0,7.84,0,0,3.92,1.96,0,1.96,0,0,5.88,1.96,0,5.88,13.72,0,0,1.96,0,27.44,0,0,1.96,0,0,0,1.96
