stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,1.64,0,0.82,0,0,0,0,0.82,0,3.28,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,7.25,0,0.81,0,0.81,0,0,0,0
 48-58,0.57,0.57,0,1.15,1.15,0.57,0,0,0,0,0.57,0.57,6.31,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,4.91,0,0,0.98,0,0,0.98,0,0.98,5.89,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,8.83,0,1.96,0,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,1.06,0,1.06,0,2.12,0,0,1.06,1.06,5.31,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,2.19,0,1.09,0,3.28,1.09,0,2.19,1.09,4.37,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,1.96,0,3.92,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
