stage,blastomeres,epidermis,gut,hatching.gland,immune,liver,mesenchyme,neural,otic,periderm,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,2,0,1,1,0,1,0
 24-34,0,0.82,0,0,0,3.28,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,5.31
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,15.3
108-118,0,0,0,0,0.77,0,1.53,0,0,0.77,0,23.74
120,0,0,0,0,0,0,0,0,0,0,0,9.8
