stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,6.29,0,18.88,0,0,122.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,619.95,3.15,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,60,5,16,0,0,1,0,1,1,0,3,1,1,0,0,29,0,0,6,709,2,49,1,0,2,1,2,196,0,0,1,0
 24-34,0,0,0,34.48,0.82,11.49,0,2.46,6.57,0,0,0,0.82,0.82,0,2.46,1.64,0.82,24.63,4.1,0.82,0.82,687.88,0,87.01,1.64,0,13.13,0,1.64,189.62,0,0,0.82,0
 36-46,0,0,0,7.25,0.81,18.53,0.81,0,32.23,0,0,0.81,0,0,0,0.81,0,0.81,25.78,0.81,0,8.86,468.9,0.81,62.84,0,0,8.06,0,0,109.57,0,0,0,0
 48-58,0,0,0,10.33,0,20.66,0,0.57,26.4,0,0,0,0,0,0.57,0,0,0,17.21,0.57,0,4.59,297.23,0,33.85,0.57,0,8.61,0,0,56.81,0,0,0.57,1.72
 60-70,0,0,0,2.94,0,14.72,0,0,51.04,0.98,0.98,0,0,0,0,0,0,0,10.8,1.96,0,0.98,175.69,0,26.5,0,0,7.85,0,0,20.61,0.98,0,0,0
 72-82,0,0.98,0,6.87,0,30.43,0,0,69.7,0.98,0,0,0,0,0,0,1.96,0,16.69,0,0.98,0.98,211.06,0,36.32,0.98,0,10.8,0,0,6.87,10.8,0,0,1.96
 84-94,0,0,0,14.87,0,42.48,0,2.12,30.8,2.12,0,0,0,1.06,0,2.12,0,0,8.5,0,2.12,1.06,163.55,0,33.99,2.12,0,26.55,0,0,4.25,48.85,1.06,0,1.06
 96-106,0,0,0,37.16,1.09,39.34,0,0,36.06,5.46,0,0,0,1.09,0,0,1.09,0,6.56,0,0,0,114.75,0,60.11,0,0,39.34,0,0,0,85.24,0,2.19,0
108-118,0,0.77,0,16.85,0.77,27.57,0,0.77,35.23,0.77,0,0,0.77,0.77,0,0,0,0,6.13,0.77,0,0,108.77,0,34.47,0,0,37.53,0,0,3.83,88.09,0,0,0
120,0,0,0,19.6,0,37.24,0,3.92,47.03,1.96,0,0,0,0,0,1.96,0,0,5.88,0,0,0,125.43,0,35.28,0,0,29.4,0,0,3.92,29.4,0,0,0
