stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,taste,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,4.93,0,0.82,0,9.03,0,0.82,0,1.64,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,14.5,0,3.22,0.81,1.61,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,3.44,1.15,1.72,0,2.3,0,4.02,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,3.93,0,0,0,0.98,0,3.93,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,18.65,0.98,0,0.98,2.94,0,3.93,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,15.93,0,1.06,0,2.12,0,7.43,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,0,0,3.28,16.39,2.19,2.19,0,0,0,6.56,0,5.46,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,18.38,0,0.77,0,2.3,0,3.83,0,2.3,0.77,0,1.53,0
120,0,0,0,0,0,1.96,1.96,7.84,0,0,0,0,0,1.96,0,3.92,0,0,3.92,0
