stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,349.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,15.73,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,48,2,1,0,1,0,9,0,3,0,1,15,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,13.95,0,0.82,0,0,0.82,0,0,0,0,0,0,6.57,0.82,0,1.64,73.88,0,0,0.82,0,0,17.24,0,0,0,0,12.31,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,9.67,0,4.03,0,0,0,0,0,0,0,0,0,6.45,2.42,0.81,0,51.56,0.81,0,0.81,0,0,19.34,0,0,0,0,5.64,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,14.92,0,6.31,0,0,0,1.15,0,0,0,0,0.57,5.74,1.72,0,1.72,29.26,0,0,0,0,0,12.05,0,0,0,0,3.44,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,0,20.61,0,11.78,0.98,0,0,0,0,0,0,0,0,15.7,0.98,0,0,40.24,0,1.96,0,0,0.98,11.78,0,0,0,0,3.93,0,0,0.98,0,1.96
 72-82,0,0,0,0,0.98,0,0,21.6,0,7.85,0.98,0,0.98,0.98,0,1.96,1.96,0,0.98,12.76,1.96,1.96,0,32.39,0,0.98,0,0,0,24.54,0,0,0,0,4.91,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,9.56,0,0,14.87,0,7.43,3.19,0,1.06,6.37,1.06,0,0,0,0,7.43,2.12,0,2.12,21.24,0,0,0,0,0,46.73,1.06,0,1.06,0,1.06,0,1.06,3.19,0,1.06
 96-106,0,0,1.09,0,13.11,0,0,6.56,1.09,5.46,5.46,0,0,3.28,1.09,0,2.19,0,1.09,10.93,2.19,0,1.09,26.23,2.19,1.09,3.28,0,0,64.48,0,0,0,0,2.19,0,0,4.37,0,0
108-118,0,0,0,0,8.43,0.77,1.53,9.96,1.53,5.36,3.83,0,0.77,2.3,1.53,0.77,0.77,0,0.77,13.02,3.83,0.77,1.53,26.04,0.77,0,0.77,0,0.77,42.13,0,0,0,0,0.77,0.77,0,3.83,0,2.3
120,0,0,1.96,0,9.8,0,0,9.8,0,5.88,0,0,1.96,3.92,1.96,0,0,1.96,0,9.8,1.96,1.96,0,31.36,0,1.96,0,0,0,48.99,0,0,0,0,0,0,0,3.92,0,1.96
