stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,2.63,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,31.47,3.15,0,0,22.03,9.44,3.15,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0,0.82,4.1,0,0,0,0,0,0,32.83,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,18.53,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.15,1.15,0,0,0,0.57,0,0,0,0,10.33,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0,21.59,0,0
 72-82,0,0,0,2.94,0,0.98,0.98,0,0,0,0.98,0.98,2.94,1.96,0.98,0,0,0,0,0,6.87,0,0.98
 84-94,0,0,0,5.31,0,1.06,0,0,0,0,0,0,0,1.06,1.06,1.06,0,0,1.06,0,35.05,0,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,1.09,0,0,2.19,0,0,1.09,0,2.19,0,0,18.58,0,0
108-118,0,0,0,2.3,0,0,0,1.53,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,16.09,0,0
120,0,0,0,5.88,0,0,0,0,0,0,3.92,0,0,0,0,3.92,0,0,1.96,0,29.4,0,0
