stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.09,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,57.83,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,18,0,0,0,0,0,1,2,0,0,4,0,0,1,4,2,0,0,8,0,3,0,311,1,3,3,1,5,0,1,0
 24-34,0,0,0,2.46,10.67,0,4.1,1.64,0,0.82,0,0,0,0,14.78,0,0,0,0,4.93,0,0.82,16.42,2.46,0,0,288.12,0,0,1.64,0,3.28,0,0.82,0
 36-46,0,0,0,0,4.03,0,0.81,0.81,0.81,0,0.81,0,0,0,0,0,0,0,1.61,6.45,0,0,17.72,4.03,0.81,0,255.4,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,0,0,6.31,0,2.87,0,0,1.72,0,1.15,0,0,1.15,0,0.57,0,1.15,1.72,0,0,9.18,3.44,0,0,145.17,0,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,0,7.85,0,1.96,0,0,0,0,0.98,0.98,1.96,0.98,0,0,0,0.98,0.98,0,0,11.78,0,0,0,119.75,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,21.6,0,1.96,1.96,0.98,0,0,2.94,0,0,2.94,0,1.96,0,1.96,3.93,0,0,1.96,2.94,0,0,106.02,0,0,0,0,0.98,1.96,0,0
 84-94,0,0,0,0,36.11,0,1.06,7.43,0,0,0,2.12,0,0,8.5,0,0,0,0,5.31,0,0,5.31,2.12,0,0,492.79,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,37.16,0,3.28,5.46,0,0,2.19,0,0,2.19,4.37,0,4.37,0,1.09,4.37,1.09,0,12.02,3.28,1.09,0,325.67,0,0,0,0,1.09,4.37,0,0
108-118,0,0,0.77,0,45.96,0,4.6,10.72,0,0.77,5.36,0,0,1.53,5.36,0.77,1.53,0,1.53,6.89,0,0,8.43,0.77,0,0,342.39,0,0,0.77,0,0,2.3,0.77,0.77
120,0,0,0,0,25.48,1.96,0,9.8,0,0,7.84,0,0,0,7.84,0,1.96,0,0,7.84,0,0,0,3.92,0,0,215.58,0,0,0,0,0,1.96,0,0
