stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,6.29,0,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,7.39,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,6.45,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0.57,0,0,6.31,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,3.19,0,2.12,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,3.83,0.77,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0
