stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,250.38,3689.82,0,0,0,0,0,0,0,0,224.02,0,0
  5-6,177.76,2292.48,0,0,0,0,6.13,42.91,6.13,24.52,61.3,0,0
  7-9,15.77,23.66,42.06,0,39.43,0,18.4,559.92,21.03,199.78,2.63,7.89,0
 10-12,0,3.15,12.59,3.15,25.18,0,6.29,144.76,9.44,53.5,3.15,6.29,6.29
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0
