stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,4,0,17,1,0,1,0,0,0,0,1,0,0,0,28,2,0,9,1,0,0,0,1,23,0,24,0,0,0,0,0
 24-34,0,0,0.82,4.93,0,0,7.39,0,18.88,0.82,0,1.64,0,0,0,0,2.46,0,0,1.64,153.5,0,18.06,7.39,0,0,0,0,0,37.76,1.64,61.56,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,8.06,0,12.89,0.81,0,2.42,0,0,0.81,0,1.61,0,0,0,327.1,0,19.34,4.03,0,0,0.81,0,0,32.23,0,80.57,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,39.59,0,30.99,0,0.57,2.87,0,0,1.15,0,4.02,0,0,0,467.08,0,15.49,2.3,0,0,0,0,0,17.21,0,69.43,0,0,0.57,0,0
 60-70,0,0.98,0,0.98,0,0,104.04,0.98,60.85,0,0,3.93,0,0,0,0,9.82,0,0,0,863.74,0,23.56,2.94,0,0,1.96,0,0,13.74,0,89.32,0,0,0,0,1.96
 72-82,0,6.87,0,2.94,1.96,0,129.58,0,89.33,0,0,4.91,0,2.94,0,0.98,13.74,0,0,0,1038.6,0,39.27,4.91,0,1.96,0.98,0,0,16.69,0,77.55,0,0,1.96,0,0
 84-94,0,3.19,1.06,6.37,2.12,0,90.27,0,48.85,1.06,0,12.74,0,0,0,0,10.62,0,0,0,469.42,0,35.05,2.12,0,0,0,0,0,15.93,0,32.92,0,1.06,1.06,1.06,0
 96-106,0,6.56,0,4.37,3.28,0,59.01,0,43.71,4.37,0,12.02,0,0,1.09,0,5.46,0,0,3.28,463.37,0,55.74,5.46,0,0,0,1.09,0,12.02,0,22.95,0,0,0,0,0
108-118,0,1.53,0,4.6,0,0,49.79,0.77,40.6,0,0,16.85,0,1.53,0.77,0,8.43,0,0.77,0,542.3,0,27.57,0,0,0,0,0,0,3.06,0,16.85,1.53,0,0.77,0,0
120,0,0,0,5.88,0,1.96,62.71,0,41.16,0,0,17.64,1.96,1.96,0,0,7.84,1.96,0,0,566.38,0,21.56,3.92,0,0,1.96,1.96,0,3.92,0,15.68,0,0,1.96,1.96,0
