stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,30.65,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,13.14,0,26.29,0,0,0,47.32,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,496.83,21.03,0,0,257.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,31.47,0,0,0,56.65,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,534.98,6.29,0,0,264.35,0,0,6.29,34.62,6.29,0,0,0,0,0,0
 14-21,0,1,0,3,23,12,0,18,0,0,0,2,0,0,1,0,1,0,0,1,0,23,0,0,8,232,4,2,3,9,0,2,35,1,34,83,0,0,1,0,0
 24-34,0,0,0.82,0.82,9.85,4.1,0,74.7,0,0,0,7.39,0,0,0.82,1.64,0.82,2.46,0,0,0.82,64.85,0,0,15.6,522.89,0.82,13.95,2.46,0,0,7.39,0,0,1.64,113.28,0,0,4.93,0,3.28
 36-46,0,0,0,0.81,4.03,0.81,0,136.96,0,0,0,11.28,0,0,0.81,0.81,0,0,0,0.81,0,29.81,0,0,14.5,325.49,0,9.67,1.61,0,0,1.61,0,0,0,69.29,0,0,5.64,0,0.81
 48-58,0,0,0,0,2.3,0,0,149.76,0,0,1.15,19.51,0,0,0.57,1.15,0,0.57,0.57,1.72,0,37.87,0,2.3,7.46,190.5,0,14.35,1.72,0,0,1.15,0,0,0,28.69,0,0,4.02,0,1.72
 60-70,0,0,0,0,3.93,0,0,138.39,0,1.96,1.96,13.74,0,0,0.98,0.98,0,0.98,0,0.98,0,30.43,0,2.94,1.96,167.84,0,10.8,0.98,0,0.98,2.94,0,0,0,16.69,0,0,2.94,0,0
 72-82,0,0,0.98,0,11.78,4.91,0,134.49,0,0,3.93,21.6,3.93,0,0,0,0,0,0.98,0.98,0,62.83,0,2.94,9.82,192.41,0.98,26.5,2.94,0,0,2.94,0,0,0,15.71,0,0.98,20.61,0,1.96
 84-94,0,0,0,0,8.5,3.19,0,87.09,1.06,1.06,2.12,18.05,5.31,0,2.12,4.25,1.06,1.06,3.19,2.12,0,44.61,0,2.12,6.37,123.2,3.19,15.93,2.12,0,0,2.12,0,0,0,7.43,1.06,1.06,7.43,0,0
 96-106,0,0,0,0,10.93,4.37,0,84.15,0,0,5.46,21.86,5.46,0,4.37,8.74,1.09,2.19,1.09,1.09,0,51.36,0,1.09,7.65,121.31,0,27.32,4.37,0,1.09,7.65,0,0,0,9.84,2.19,0,7.65,1.09,1.09
108-118,0,0,0.77,0,14.55,1.53,0.77,62.04,0,1.53,1.53,25.28,6.13,0,0,3.83,1.53,3.83,0.77,0.77,1.53,38.3,0.77,0.77,8.43,137.11,1.53,17.62,4.6,0,1.53,4.6,0,0,0,2.3,0.77,0,7.66,0.77,0
120,0,0,0,1.96,25.48,0,1.96,72.51,0,1.96,0,15.68,0,0,1.96,1.96,1.96,1.96,0,0,0,33.32,0,0,7.84,107.79,0,13.72,1.96,0,1.96,3.92,0,0,0,3.92,0,0,5.88,0,0
