stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,1.64,0.82,9.03,0.82,0.82,0,4.1,0,0
 36-46,0,0,0,0,0.81,4.83,0,0,0,0.81,0,11.28,0.81,0,0,1.61,0.81,0
 48-58,0,0,0,0,0,5.16,0.57,1.15,0,0.57,0.57,11.48,0.57,0,0,1.72,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0.98,0,6.87,2.94,0.98,0,1.96,0,0
 72-82,0,0,0,0,0.98,4.91,0,1.96,0,0.98,0,5.89,2.94,0,0,0,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,1.06,1.06,0,6.37,1.06,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,2.19,0,0,0,1.09,0,5.46,2.19,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,4.6,1.53,0,0,0,0,0
120,1.96,0,0,0,0,5.88,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0
