stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,27.91,0,0,9.03,0,8.21,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,146.63,0,0,21.75,2.42,17.72,0,0,0,0,0.81,0,0,0
 48-58,0.57,0,0,0,0,1.15,0,6.31,0,0,0,0,0,0,0,0,224.93,0,0,36.72,9.18,26.97,0,0,0,0.57,0.57,0,0.57,0
 60-70,0,0,0,0,0.98,3.93,0,18.65,0.98,0,0,0,0,0,0,0,366.11,0.98,0,40.24,1.96,40.24,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,1.96,0,12.76,0,33.38,1.96,0,0,0,0,0,0,0.98,522.24,0,1.96,47.12,15.71,23.56,0.98,0,0.98,0,0.98,0,4.91,0.98
 84-94,0,0,1.06,1.06,0,21.24,2.12,18.05,0,0,0,1.06,0,0,1.06,0,357.91,0,0,23.36,2.12,31.86,0,0,0,0,1.06,0,7.43,1.06
 96-106,0,0,0,3.28,0,8.74,2.19,19.67,0,1.09,0,1.09,0,0,0,0,391.24,2.19,3.28,22.95,5.46,20.76,0,0,1.09,0,0,0,7.65,6.56
108-118,0,0,0,2.3,0,9.96,0.77,14.55,0.77,0,0,0,0,0.77,0,1.53,272.68,0.77,3.06,15.32,11.49,24.51,0,0,0,0.77,0,0,5.36,0.77
120,0,0,0,1.96,0,5.88,0,23.52,0,0,1.96,1.96,1.96,0,0,1.96,270.45,0,7.84,7.84,21.56,5.88,0,0,0,0,0,1.96,0,0
