stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,2543.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,98.07,1268.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,118.2,0,0,0,0,0,0.82,0,0,0,0,11.49,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,76.54,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,374.64,0,0.81,0,0,0,3.22,0.81,0,0.81,0,55.59,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,336.25,0,0,0.57,10.9,0,0.57,0.57,0,0,0.57,10.33,0,0.57,1.15,554.3,0.57,0.57,0.57,0,0,3.44,0,0,0.57,0,90.09,0,1.15,0,1.15
 60-70,0,0,0.98,0,2.94,0,0,454.44,0,0,0,13.74,0,0,0,0.98,0,0,10.8,0,0,0,543.76,0,0,2.94,0,0,3.93,0,0,0,0,59.87,0,0.98,0,0.98
 72-82,0,0,0,0,5.89,3.93,0,372.05,0,0,0.98,17.67,0,0.98,0,0.98,0,0,23.56,0.98,0,0,353.4,0,0.98,1.96,0,0,10.8,0,0,0,0,36.32,0,1.96,0,0.98
 84-94,0,0,0,0,9.56,1.06,0,279.32,0,2.12,0,16.99,1.06,0,1.06,1.06,0,0,20.18,0,0,2.12,211.35,0,1.06,0,0,2.12,21.24,0,0,0,0,22.3,1.06,1.06,0,1.06
 96-106,0,0,0,0,14.21,3.28,0,196.71,0,0,0,18.58,0,0,1.09,0,1.09,0,6.56,0,1.09,0,149.72,0,0,1.09,0,0,13.11,0,0,0,0,7.65,0,0,0,2.19
108-118,0,0,0,0,6.89,0.77,1.53,193.02,0.77,0.77,0,5.36,0,0,0.77,0.77,0,0.77,6.89,0.77,0,1.53,215.24,0.77,0,0.77,0,0,6.89,0,0,0,0,9.19,0,0,1.53,0
120,0,0,0,0,0,1.96,0,197.94,0,3.92,0,9.8,0,0,0,0,0,3.92,3.92,0,0,0,248.89,0,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0
