stage,axial,blastomeres,epidermis,eye,gut,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,23.66,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.93,0,3.28
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,2.42
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,4.25,0,0,0,0,3.19,0,4.25
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,0.77,0.77,0.77,1.53,0,3.83,0,4.6
120,0,0,0,0,1.96,3.92,1.96,0,0,0,0,5.88,0,0
