stage,epidermis,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,2.46,18.88,0,1.64,0,0,0.82
 36-46,0,0,0.81,0,0,1.61,12.09,0,0.81,0,0,0
 48-58,0,0.57,0,0,0.57,3.44,5.74,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,3.93,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,16.99,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,18.58,1.09,0,1.09,0,0
108-118,0.77,0,0,0,0,0,15.32,0,0,0,0,0
120,0,0,0,1.96,0,0,7.84,0,0,0,0,0
