stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,410.69,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,49.95,0,0,0,42.06,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,509.97,26.29,0,0,199.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,47.2,0,6.29,0,81.82,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,774.15,34.62,0,0,242.32,0,3.15,6.29,0,22.03,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,6,34,6,0,22,0,0,0,8,1,0,2,0,0,0,0,0,0,17,0,6,217,7,4,0,1,0,0,0,10,1,0,27,91,0,0,0,0,0
 24-34,0,0,2.46,4.93,15.6,0,0,55,0,0,0.82,9.85,1.64,0,2.46,0.82,0,0,0,0.82,0.82,45.15,0,22.98,662.43,0.82,1.64,5.75,0,0,0.82,0,0,0,1.64,4.93,163.35,0,0,9.03,0,0.82
 36-46,0,0,0,1.61,4.83,0.81,0,156.3,1.61,0,2.42,28.2,1.61,0,0.81,0,0,0,0,0,0,49.95,0.81,16.11,825.01,0.81,2.42,4.03,0,0,1.61,0,0,1.61,0.81,0,176.44,0,0,2.42,0,0.81
 48-58,0.57,0,0,0,4.02,0,0,218.62,0.57,0.57,4.02,51.64,0.57,0,0,0.57,0,0,0.57,0.57,0,85.5,2.87,19.51,728.16,2.3,3.44,2.87,0,1.15,1.15,0,0,0.57,0,0,145.75,0,0,4.59,0,1.72
 60-70,0,0,0,0,5.89,0.98,0,330.77,1.96,0,7.85,68.71,2.94,0,2.94,1.96,0,0.98,0.98,0,0.98,102.08,2.94,8.83,809.76,0,2.94,1.96,0,0,0,0,0,0,0,0,105.02,0,1.96,6.87,0,1.96
 72-82,0,0,2.94,0,6.87,2.94,0,258.18,1.96,0.98,9.82,73.62,0.98,0,4.91,2.94,0,0,0,0,0,133.51,3.93,7.85,621.39,0.98,0.98,3.93,0,0.98,5.89,0,0,0,0,0,53.01,0,0.98,5.89,1.96,1.96
 84-94,0,0,1.06,0,12.74,0,0,174.17,2.12,2.12,2.12,54.16,2.12,0,4.25,0,2.12,2.12,1.06,0,2.12,84.96,4.25,15.93,298.43,2.12,3.19,6.37,0,1.06,1.06,0,0,0,0,0,35.05,1.06,4.25,11.68,3.19,0
 96-106,0,0,1.09,0,5.46,1.09,0,120.21,1.09,0,3.28,42.62,2.19,0,2.19,3.28,1.09,3.28,0,0,1.09,84.15,0,7.65,248.08,0,1.09,4.37,0,0,2.19,0,0,0,1.09,0,13.11,0,2.19,12.02,0,1.09
108-118,0,0,1.53,0,6.89,0,1.53,94.98,0.77,4.6,6.89,38.3,2.3,0,3.06,3.83,1.53,3.83,0,0,0.77,65.11,3.06,6.89,271.15,0.77,3.06,3.06,0,0,0.77,0,0,0,3.06,0,8.43,2.3,0,5.36,2.3,0
120,0,0,0,0,13.72,3.92,0,119.55,1.96,1.96,3.92,64.67,3.92,0,1.96,0,0,3.92,0,0,0,88.19,5.88,13.72,331.2,3.92,0,3.92,0,0,0,0,0,0,0,0,7.84,0,3.92,7.84,0,0
