stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,lateral.line,mesenchyme,mucous,neural,otic,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,4,0,1,0,0
 24-34,0.82,0,3.28,0,0,0,0.82,0,0,9.85,0,0.82,0,0
 36-46,0,0.81,4.83,0,0,0,0,1.61,0,15.31,0,9.67,0,0
 48-58,0,0,4.02,0.57,1.72,0.57,0,1.72,0,13.77,0.57,4.02,0.57,0
 60-70,0.98,1.96,7.85,0,4.91,0,0,2.94,0,13.74,0,3.93,0,0
 72-82,0.98,11.78,14.72,0,3.93,0,0,2.94,0,16.69,0.98,1.96,1.96,0
 84-94,1.06,10.62,9.56,0,2.12,0,0,0,1.06,6.37,0,1.06,0,1.06
 96-106,0,4.37,16.39,0,2.19,0,0,1.09,0,8.74,0,0,0,0
108-118,0.77,2.3,5.36,0,0.77,0,0,0.77,0,7.66,0,0,0,0
120,0,3.92,11.76,0,5.88,1.96,0,0,0,13.72,1.96,0,0,0
