stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,39.53,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,21,0,7,42,2,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0.82,5.75,2.46,1.64,0,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,0,4.03,0,0.81,0,0,0,0,0,0,4.83,0,0,2.42,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,0.57,0.57,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,7.85,0.98,0,1.96,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,0.98,0.98,0,0,0,0,4.91,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,15.93,1.06,0,0,0,0,1.06,0,1.06,1.06,1.06,1.06,2.12,0,0,1.06,0,4.25,0,0,0,0,0
 96-106,0,0,0,5.46,3.28,0,1.09,0,3.28,0,1.09,0,1.09,0,0,3.28,0,0,2.19,0,3.28,0,0,0,0,1.09
108-118,0,0,0,6.13,0,0,0.77,0,3.06,0,0,0,3.06,1.53,0.77,0.77,0,0,2.3,0,1.53,0,0,0,0.77,0
120,0,0,0,3.92,1.96,0,0,0,9.8,0,1.96,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
