stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,1,3,1,0,1,0,0,0,0,2,4,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,7.39,0,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0,0,3.22,0,0,4.03,0.81
 48-58,0,0,0,0,1.72,0,0,0,0.57,0,0,2.3,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,2.19,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
