stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0
  5-6,24.52,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,36.78,67.43,0,0,0,0,0
  7-9,5.26,23.66,86.75,0,26.29,0,0,0,0,34.17,0,0,0,0,0,0,688.72,2.63,0,0,399.56,7.89,2.63,0,0,0,0
 10-12,0,6.29,15.73,0,6.29,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,94.41,3.15,0,3.15,0,0,0
 14-21,0,0,0,6,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,5,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,1.64,0.82,17.24,0,0.82,0.82,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,18.94,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0.98,0,0,65.77,0,0,0.98,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,1.06,3.19,0,0,0,0,0,1.06,0,0,1.06,0,0,25.49,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,5.46,0,0,4.37,0,0,0,0,0,1.09,0,0,24.04,0,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0,2.3,5.36,0,0,0.77,0,0,0,0.77,0,0.77,0,0,30.64,0,0,0,0,0.77,0,1.53,0,0.77,0.77
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0,0,0,0
