stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,1.72,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,8.83,0,0.98,0,0,0,0,2.94,0,1.96,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,0,1.06,0,3.19,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,5.46,0,0,1.09,1.09,1.09,25.14,1.09,2.19,1.09,0,0,1.09,6.56,0,5.46,0,0,0,2.19,0
108-118,0,0,7.66,0,0.77,0,1.53,1.53,16.85,0,0.77,1.53,0,0.77,1.53,1.53,0,1.53,0,0,0,0,0.77
120,0,1.96,7.84,0,0,0,1.96,0,25.48,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
