stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,251.32,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,18.39,0,0,0,0,0,0
  7-9,7.89,5.26,0,0,13.14,0,0,0,7.89,0,0,0,0,0,78.86,10.51,0,0,131.44,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,44.06,0,0,0,138.47,0,3.15,0,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,13,0,5,10,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,1.64,0,0,9.85,0,0.82,0,0,0,0,0,1.64,7.39,1.64,0
 36-46,0,0,0,0.81,0.81,1.61,0,0,0,0,0.81,2.42,0,0.81,4.83,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,1.15,0,0,0,0.57,0,0.57,0,0.57,1.15,0,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,3.93,0,0.98,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,0,3.93,0,1.96,3.93,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,1.53,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0
