stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,gut,hatching_gland,heart,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,3.15,9.44,0,0
 14-21,0,0,0,0,2,0,0,0,1,0,4,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,33.66,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,29.81,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0,40.74,1.15,0,1.15,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,58.89,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0.98,63.81,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,3.19,0,0,84.96,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,106.01,1.09,1.09,1.09,0,0,1.09,3.28
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,88.09,0,0,1.53,0,0,0.77,2.3
120,0,0,0,0,0,0,0,0,0,0,96.03,3.92,0,1.96,0,0,3.92,3.92
