stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,37.76,0,0,182.52,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,20,6,12,0,10,0,2,0,0,0,0,0,0,0,0,68,0,76,82,64,1,0,10,0,0,138,1,2,105,37,0,0,0,0,0
 24-34,0,0,0,6.57,1.64,9.85,0,29.55,3.28,1.64,0,3.28,0,0.82,0,1.64,0.82,2.46,146.11,0,69.77,120.67,8.21,1.64,1.64,0,0,0.82,0,0.82,1.64,22.16,50.07,0,0,0.82,0,0.82
 36-46,0,0,0,5.64,2.42,10.47,0,11.28,8.86,3.22,0.81,4.83,1.61,0,0,0,0.81,0.81,183.69,1.61,29.81,126.49,3.22,0,2.42,0,0.81,0,0,0,1.61,0,25.78,0,1.61,0,0,0
 48-58,0,0,0,2.3,0,17.79,0,6.31,22.95,3.44,0,1.72,0,0,0,0,0,2.3,180.17,1.15,24.67,80.91,1.15,0,1.15,0,0,0.57,0,0.57,2.3,0,18.94,0,1.72,0.57,0,0
 60-70,0,0.98,0.98,2.94,0.98,101.1,0,10.8,30.43,7.85,0,0.98,0,0,0.98,0.98,0,0,194.34,7.85,12.76,104.04,0,0,1.96,0.98,1.96,0,0,0,0,0,16.69,0,1.96,0,0,0
 72-82,0,0,0,4.91,0,214,2.94,11.78,50.06,5.89,0,0,0,0,0,1.96,0.98,0.98,257.2,15.71,28.47,94.24,1.96,0,3.93,0,3.93,0.98,0,2.94,0.98,0,10.8,0,1.96,0.98,4.91,0.98
 84-94,0,0,0,12.74,0,103.02,3.19,16.99,41.42,7.43,0,2.12,0,0,0,0,0,0,194.35,14.87,15.93,58.41,1.06,0,5.31,0,0,3.19,0,3.19,4.25,0,5.31,1.06,3.19,0,3.19,0
 96-106,0,0,0,27.32,0,109.28,9.84,46.99,49.18,14.21,1.09,2.19,0,1.09,1.09,4.37,0,1.09,213.11,14.21,14.21,76.5,3.28,0,13.11,0,2.19,5.46,0,1.09,13.11,0,1.09,1.09,1.09,0,4.37,0
108-118,0,0.77,0,13.02,1.53,93.45,13.79,46.72,65.87,6.89,0.77,2.3,2.3,2.3,0,1.53,0,0,180,8.43,26.04,69.7,2.3,0,10.72,0,2.3,2.3,0,4.6,18.38,0,1.53,0.77,3.83,0,6.13,2.3
120,0,0,1.96,15.68,0,48.99,5.88,47.03,31.36,5.88,0,1.96,0,1.96,0,0,1.96,1.96,123.47,7.84,17.64,50.95,0,1.96,7.84,0,1.96,5.88,0,0,7.84,0,1.96,1.96,0,0,7.84,0
