stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.41,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,2.63,0,0,0,7.89,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,15.77,0,44.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,12.59,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,3,2,1,0,0,14,0,1,31,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,172.38,2.46,12.31,3.28,0,0,17.24,0,0,47.61,0,0,0,0,0.82
 36-46,0,0,2.42,0,1.61,0,0,7.25,0,0.81,0,4.03,0.81,0,0,0,0.81,0,3.22,0,0,3.22,0,0,0,645.34,2.42,12.09,3.22,0,0,1.61,0,0,78.15,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,5.16,0,0,113.61,1.15,0.57,1.15,17.79,0,0,0,1.15,0.57,0,1.72,0.57,0,16.07,1.15,0,1.15,1103.43,0,13.2,3.44,0,0,3.44,0.57,0,110.17,0,0,2.3,0,0.57
 60-70,0,0,1.96,0.98,9.82,0.98,0,501.56,0,0,0,117.78,3.93,0.98,0,0,0,0,5.89,0.98,0,13.74,0,1.96,0.98,2025.86,1.96,16.69,6.87,0,0,9.82,1.96,0,194.34,0,1.96,2.94,0,2.94
 72-82,0,0,2.94,0,21.6,7.85,0,1025.84,0,0.98,3.93,296.46,6.87,0,0,4.91,1.96,1.96,3.93,0,0.98,38.28,0,0.98,5.89,2037.93,3.93,23.56,17.67,0,0,4.91,0,0,127.62,2.94,8.83,4.91,4.91,2.94
 84-94,1.06,0,5.31,0,25.49,3.19,0,639.35,1.06,1.06,8.5,226.21,11.68,0,1.06,2.12,0,3.19,4.25,1.06,1.06,41.42,1.06,3.19,5.31,1041.86,4.25,29.74,20.18,0,0,13.81,0,0,95.58,4.25,5.31,3.19,3.19,0
 96-106,0,0,2.19,0,30.6,7.65,0,607.62,0,2.19,1.09,218.57,9.84,0,1.09,2.19,0,2.19,10.93,5.46,0,32.79,0,4.37,2.19,879.74,2.19,51.36,40.44,0,1.09,9.84,0,0,31.69,3.28,5.46,2.19,3.28,5.46
108-118,0,0,1.53,0,21.45,3.06,2.3,445.02,4.6,2.3,5.36,176.17,8.43,0,0,0.77,0.77,1.53,2.3,0,1.53,30.64,0.77,1.53,3.83,938.3,1.53,42.13,29.11,0,0,9.19,2.3,0,31.4,3.06,7.66,1.53,4.6,1.53
120,0,0,0,1.96,39.2,9.8,0,468.39,1.96,3.92,7.84,184.22,5.88,0,1.96,3.92,0,3.92,11.76,5.88,0,27.44,1.96,1.96,5.88,1573.71,5.88,35.28,27.44,0,1.96,17.64,0,0,43.12,1.96,7.84,3.92,3.92,0
