stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,42.91,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,122,0,1,0,0,0,0,0,0,78,0,0,0,0,0
 24-34,0,0,5.75,0,1.64,0,0,12.31,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,663.25,0.82,12.31,0.82,0,0,0.82,0,1.64,203.57,0,0,0,0,0
 36-46,0,0,3.22,0,0.81,0,0,117.63,0,0,0,33.84,0,0,0,0,0,0.81,0,1.61,1.61,4.83,0,0,0.81,1629.06,0,16.92,0,0,0,4.83,0,0,387.53,0,0,1.61,0,0.81
 48-58,0,0,2.3,0,6.31,0.57,0,265.1,0.57,0,1.15,71.15,0,0,0.57,1.15,0,0,0.57,0,1.72,15.49,0,0.57,1.72,1537.22,1.15,9.75,0,0,0,1.15,0,0,333.38,0,0,0.57,0,2.3
 60-70,0,0,1.96,0,0.98,0.98,0,548.67,0,0.98,0.98,101.1,0,0,0.98,0,0,0,1.96,0,1.96,21.59,0,0.98,0.98,2090.64,0.98,15.7,0,0,0,1.96,0,0,308.2,0,0,0,0,3.93
 72-82,0,0,2.94,0,11.78,0.98,0,485.92,0,0.98,2.94,137.43,0,0,0,1.96,0,0.98,0.98,0,0,51.05,0,0.98,2.94,1704.16,0,17.67,0.98,0,0.98,0,0,0,177.68,0.98,0,0.98,2.94,1.96
 84-94,0,0,0,0,10.62,4.25,0,334.54,0,0,3.19,81.78,1.06,0,1.06,1.06,0,1.06,0,1.06,4.25,26.55,0,0,3.19,906.98,0,12.74,1.06,0,0,1.06,1.06,0,113.64,0,3.19,4.25,0,1.06
 96-106,0,0,1.09,0,20.76,3.28,2.19,264.47,0,1.09,2.19,110.38,1.09,0,1.09,4.37,1.09,0,0,0,2.19,26.23,1.09,1.09,1.09,760.62,0,25.14,1.09,0,0,13.11,0,0,50.27,1.09,3.28,3.28,1.09,0
108-118,0,0,0.77,0,9.96,2.3,0.77,222.9,0.77,0.77,0.77,111.06,2.3,0,1.53,3.06,2.3,0.77,0,0.77,1.53,25.28,0,0.77,2.3,992.69,0,13.79,3.83,0,0,0.77,0,0,35.23,0,0,0.77,0,0.77
120,0,0,1.96,1.96,15.68,5.88,1.96,235.17,0,0,1.96,109.75,1.96,0,1.96,0,0,3.92,0,0,3.92,27.44,0,0,5.88,1222.91,0,15.68,3.92,0,0,5.88,0,0,58.79,0,0,3.92,1.96,0
