stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,7.39,0,1.64,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,17.72,0,1.61,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,1.15,0,0,1.15,0,0,0,0,0,0,1.72,0,0,13.77,0,0,0,0,0,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,0,2.94,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,20.61,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,10.8,0.98,1.96,0.98,0,0,0,0,0,0,3.93,0.98,0,20.61,0,2.94,0,0,0,0,0,2.94,0.98,0.98
 84-94,0,0,1.06,2.12,1.06,3.19,0,0,5.31,0,0,0,1.06,0,1.06,3.19,0,1.06,6.37,1.06,1.06,0,0,5.31,0,0,4.25,0,0
 96-106,0,0,2.19,0,0,5.46,0,0,0,0,0,1.09,0,0,1.09,5.46,0,0,9.84,0,1.09,0,0,0,0,1.09,1.09,0,0
108-118,0,0,1.53,0.77,0,4.6,0,0,4.6,0,0,0,0.77,0.77,0,7.66,0,0,20.68,0.77,0,0.77,0,1.53,0.77,0,0,0.77,0.77
120,0,0,0,0,0,3.92,1.96,0,5.88,0,0,0,1.96,0,0,5.88,0,5.88,13.72,0,0,0,0,1.96,0,0,1.96,0,0
