stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,10,2,17,0,12,1,2,0,0,0,0,5,7,0,1,108,5,0,5,1,0,1,1,5,1,0,3,43,0,0,0,15
 24-34,18.06,0,4.93,0.82,12.31,0,0.82,0,0,4.1,0,22.16,11.49,0,1.64,166.63,0.82,0,1.64,0,0,2.46,0,0,0,0,0.82,73.88,0,7.39,0,8.21
 36-46,5.64,0,7.25,0,12.09,0,1.61,0,0,4.83,0,15.31,18.53,0,0.81,89.43,0,0,0,0,0,2.42,0,0,1.61,1.61,0,35.45,0,9.67,0,18.53
 48-58,2.3,0,6.31,0.57,9.75,0,1.72,0,0,3.44,0,8.61,9.18,0.57,0,29.84,0,2.3,1.15,0,0,0,0,0,0,0,0,17.21,0,4.02,0,4.59
 60-70,0.98,0,9.82,0,5.89,0.98,0,0.98,0,4.91,0,4.91,1.96,0,0,29.45,0,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0,2.94
 72-82,0,0,3.93,0.98,3.93,0.98,0.98,0.98,0,1.96,0.98,3.93,8.83,0.98,0,15.71,0,1.96,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,2.94
 84-94,0,1.06,2.12,0,1.06,0,2.12,0,1.06,5.31,0,6.37,4.25,0,0,8.5,0,1.06,0,0,0,2.12,0,0,1.06,0,0,0,1.06,1.06,0,3.19
 96-106,1.09,1.09,2.19,0,1.09,0,4.37,0,0,5.46,0,3.28,2.19,0,0,7.65,0,5.46,1.09,0,2.19,3.28,0,0,0,0,0,1.09,0,6.56,1.09,6.56
108-118,1.53,0,3.06,0,1.53,0,0.77,0,0,16.09,0.77,0.77,5.36,0,0,11.49,0.77,2.3,0,0,0,0,0,0,0,0,0,2.3,0,3.83,0,10.72
120,5.88,0,3.92,0,1.96,1.96,3.92,0,0,3.92,0,1.96,5.88,1.96,0,9.8,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88
