stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,19.51,0,0,2.3,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0.98,0,26.5,0,0,0,0
 72-82,0,0,0,0,0.98,5.89,0.98,0,0.98,0,0,68.72,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,2.12,0,0,0,2.12,0,44.61,0,1.06,1.06,0
 96-106,0,0,1.09,0,2.19,15.3,2.19,0,1.09,3.28,0,42.62,1.09,0,1.09,1.09
108-118,0,0,0,3.06,0.77,4.6,0.77,0,0,0.77,0,64.34,0,0,1.53,0
120,0,0,0,1.96,1.96,7.84,0,0,3.92,3.92,0,97.99,1.96,0,3.92,0
