stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,34.62,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,191.97,15.73,481.49,0,0,3.15,91.26,0,3.15,3.15,0,0,0,0
 14-21,1,0,0,10,14,13,2,0,0,0,36,3,0,0,0,0,1,45,0,76,103,4,5,0,0,101,1,3,116,495,0,2,0,0
 24-34,0,0,0,3.28,1.64,1.64,2.46,0,0.82,0,42.68,0,0,0,0,0,0.82,59.92,0.82,43.51,78.8,0,0,0,0,0.82,0,0,7.39,426.85,0,8.21,0,0.82
 36-46,0,0,0,0.81,0,0,1.61,0,0,1.61,23.36,0,0,0,0,0.81,0,43.51,1.61,16.11,65.26,0,0,0,0,0,0,0,0,406.86,0,4.03,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,22.38,0,0,0,0,0,0,34.43,3.44,8.03,126.24,0,0,0,0,0,0,0,0,301.82,0,0,0,0.57
 60-70,0,0,0,0,0,0,4.91,0,0,0,15.7,0,0,0,0,0,0,23.56,5.89,10.8,108.95,0,0,0,0,0,0,0,0,181.58,0.98,0,0,0
 72-82,0,0,0,0,2.94,0.98,3.93,0,0.98,0.98,43.19,0.98,0,0,0,0,0,19.63,4.91,9.82,62.83,0,0,0,0,0,0,0,0,62.83,0.98,0.98,1.96,0
 84-94,0,0,0,0,0,0,7.43,1.06,0,1.06,37.17,0,0,1.06,0,0,0,19.12,3.19,5.31,40.36,1.06,0,0,0,0,0,0,0,47.79,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,4.37,0,1.09,2.19,20.76,0,0,0,1.09,0,0,18.58,8.74,9.84,27.32,0,0,1.09,0,0,0,0,0,15.3,1.09,0,1.09,0
108-118,0,0,0,0,0,0,1.53,0,0,0,22.21,0.77,0,0,0,0,0,9.96,3.83,3.06,24.51,0,0,0.77,0.77,0,0,0,0,17.62,1.53,1.53,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,0,0,11.76,7.84,5.88,7.84,0,0,0,0,0,0,0,0,9.8,0,1.96,0,0
