stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,1,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,1,3,0,1,8,0,0
 24-34,0,0.82,0,0,3.28,0,0,4.93,0,0.82,1.64,0,1.64,15.6,0,2.46,0.82,2.46,0,2.46,0,0,13.95,0,0
 36-46,0,1.61,0,0,0.81,0,0,1.61,0,0,0,0,0,12.89,0,1.61,0.81,1.61,0,0,0,0,4.03,0,0.81
 48-58,0,0.57,0,0,1.15,0,0,2.87,0,0,1.15,0,0,12.05,0,0.57,0,1.72,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,0.98,0,0.98,1.96,0,0.98,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,8.83,0.98,0,3.93,0,0.98,9.82,0,1.96,0,1.96,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,5.31,0,0,4.25,0,0,4.25,1.06,0,16.99,1.06,0,2.12,6.37,0,0,0,0,2.12,0,0
 96-106,1.09,3.28,0,0,3.28,0,1.09,6.56,1.09,1.09,7.65,1.09,2.19,8.74,0,4.37,4.37,4.37,0,1.09,0,0,5.46,1.09,1.09
108-118,0.77,0,0,0.77,1.53,0.77,0,0.77,0,0,3.06,0,1.53,9.19,0,1.53,0.77,1.53,0,0,0,0,1.53,0,0.77
120,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0,3.92,19.6,0,0,0,5.88,0,1.96,0,0,1.96,0,0
