stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,49.04,784.59,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,18.4,36.8,0,0,0,26.29,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,417.97,15.77,0,0,186.64,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,18.88,18.88,0,3.15,0,40.91,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,333.58,31.47,0,0,173.08,0,0,3.15,18.88,0,0,3.15,0,0
 14-21,0,0,6,42,9,0,11,3,2,1,1,0,2,0,0,0,0,26,0,0,14,195,3,1,3,8,18,1,33,2,1,28,57,0,0
 24-34,0,0,0,8.21,2.46,0,43.51,4.1,0,0.82,0,0,1.64,0,0,0,0.82,15.6,0,0,4.93,296.33,1.64,0.82,0.82,0,11.49,0,0.82,0,0.82,1.64,50.07,3.28,0.82
 36-46,0,0,0,2.42,0,0,91.85,2.42,0,0,0,0,0,0,0,0,0.81,17.72,0,0,7.25,186.11,0,0.81,1.61,0,0.81,0,0,0,0,0,34.64,1.61,0
 48-58,0,0,0,1.15,0,0,91.23,5.74,0,0,1.15,0.57,0,0,0.57,0,0,18.94,0.57,1.72,3.44,76.32,0,0,0.57,0,0.57,0,0,0,0,0,10.9,0.57,1.15
 60-70,0,0,0,5.89,0,0,86.37,5.89,0,0,0,0,0,0,0.98,0.98,0,12.76,0,0.98,2.94,47.11,0,0.98,0,0,0,0,0,0,0,0,2.94,0.98,0.98
 72-82,0,0,0,0.98,0.98,0,22.58,7.85,0,0,0,0,0.98,1.96,0,0,0,6.87,0,0.98,1.96,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,7.43,1.06,0,30.8,5.31,3.19,0,0,0,0,0,0,0,0,14.87,0,2.12,3.19,27.61,1.06,0,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,2.19,0,1.09,13.11,3.28,0,0,0,2.19,0,0,0,0,0,9.84,0,0,4.37,18.58,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,1.53,0,12.26,2.3,0.77,0,0,0.77,0,0.77,0.77,0,0,5.36,0,0.77,0.77,21.45,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,25.48,5.88,0,0,0,3.92,0,0,0,0,0,5.88,0,0,1.96,45.08,0,0,1.96,0,0,0,0,0,0,0,0,0,0
