stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,36.78,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,12,0,0,1,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,7,0,3,16,0,89,0,1,0,0,0,0
 24-34,0,0,0.82,2.46,8.21,0,0,2.46,0,0,0,0,4.1,0,0,5.75,0,13.95,1.64,0,0,3.28,0,0.82,11.49,0.82,4.93,20.52,0,302.9,0.82,3.28,0,0,0.82,0
 36-46,0,0,0,0,5.64,0,0,0.81,0,0,0,0.81,4.83,0,0,0.81,0,3.22,1.61,0.81,1.61,0.81,0,0.81,13.7,0,2.42,9.67,0,280.37,2.42,2.42,0,0,0.81,0
 48-58,0,0,0,0,4.02,0,0,5.16,0,1.15,0,0.57,3.44,2.87,0,1.15,0,6.31,0.57,0,1.72,1.72,0,0.57,15.49,0,1.72,8.03,0,202.55,0,2.87,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,8.83,0,0.98,0.98,0,7.85,0,0,3.93,0,4.91,0.98,0.98,1.96,0.98,0,0,16.69,0,4.91,13.74,0,189.43,0.98,2.94,0.98,0,0,0
 72-82,0,0,2.94,0,20.61,0.98,0,6.87,0,0.98,0.98,0.98,22.58,3.93,0,3.93,0,4.91,0.98,0.98,1.96,8.83,0,0.98,15.71,0,1.96,13.74,0,222.84,0.98,1.96,1.96,0,0,0.98
 84-94,0,0,4.25,0,43.54,0,0,5.31,0,4.25,0,2.12,21.24,4.25,0,11.68,0,7.43,1.06,0,3.19,7.43,0,0,5.31,0,4.25,20.18,0,524.65,1.06,0,1.06,1.06,0,0
 96-106,0,0,2.19,2.19,95.08,0,0,3.28,0,9.84,1.09,2.19,34.97,0,1.09,17.49,1.09,12.02,2.19,0,4.37,9.84,0,1.09,27.32,0,9.84,25.14,0,556.26,2.19,0,4.37,0,0,0
108-118,0,0,0.77,0,69.7,0,0.77,2.3,0.77,9.19,0.77,0,36.77,0,0.77,17.62,0,7.66,0.77,0,2.3,16.09,0.77,0,14.55,0,5.36,13.02,0,387.58,0.77,0,7.66,0,0.77,0
120,0,0,0,0,70.55,0,0,3.92,0,11.76,0,0,48.99,0,0,15.68,0,7.84,1.96,0,3.92,7.84,0,1.96,13.72,0,3.92,7.84,0,342.96,1.96,0,1.96,0,1.96,0
