stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,1,0,1,10,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,0,0,0,0,4.93,0,0,0,0,1.64,0,0.82,144.47,0,0.82,0,0,0,0,0,82.09,0,0,0.82,0,0
 36-46,0,0,0,9.67,0,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0.81,393.17,0,4.03,0,0.81,0,0,0,106.35,0,0,0,0,0
 48-58,0,1.72,0,28.12,0,0.57,1.72,10.33,0.57,0,8.61,0,0,0,0.57,7.46,0.57,1.15,622,0,1.72,0,0.57,0,0.57,0,101.56,0,0,0,0,0.57
 60-70,1.96,1.96,0,85.39,0.98,1.96,0,19.63,0,0,15.7,0,0,0,1.96,5.89,0,0,1231.81,0,4.91,0.98,0,0,0,0,159.99,0,0,0,0,0.98
 72-82,0,5.89,3.93,206.15,0,0,0,37.3,1.96,0.98,21.6,0,0,0,0.98,21.6,0.98,0,1110.26,0,9.82,1.96,0.98,0,0,0,125.65,0,0.98,2.94,0,1.96
 84-94,0,3.19,2.12,154,0,2.12,0,26.55,1.06,0,30.8,1.06,1.06,1.06,1.06,13.81,0,1.06,532.08,0,5.31,0,0,0,0,0,56.29,1.06,2.12,0,1.06,0
 96-106,0,9.84,0,127.86,0,1.09,1.09,24.04,0,1.09,29.51,3.28,1.09,0,0,14.21,2.19,0,485.22,0,6.56,1.09,3.28,0,0,0,25.14,0,1.09,1.09,0,1.09
108-118,0,2.3,0.77,138.64,0,0.77,0,30.64,0.77,0,24.51,2.3,0,0,0,12.26,0,0.77,563.75,0.77,10.72,0,0,0,0,0,26.04,0.77,0,2.3,0.77,0
120,0,1.96,0,145.02,1.96,3.92,0,48.99,0,0,23.52,1.96,0,3.92,0,11.76,0,1.96,895.62,1.96,15.68,0,5.88,0,0,0,25.48,0,0,3.92,0,0
