stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,9,262,2,0,7,0,0,0,1,0,1,0,7,0,0,2,0,39,0,0,20,33,1,1,0,1,0,17,0,17,36,7,11,11,0,0,0,0,0
 24-34,0,0,18.06,162.53,0.82,0,15.6,0,3.28,0.82,0,3.28,0,0,4.1,0,0.82,3.28,0,171.56,3.28,0,59.1,65.67,12.31,0,2.46,0,0,13.13,0,0,84.55,1.64,11.49,22.16,0,0,8.21,0,2.46
 36-46,0,0,2.42,120.85,0.81,0,18.53,4.83,18.53,10.47,7.25,10.47,10.47,0.81,0.81,2.42,0,8.06,0,418.14,0,1.61,146.63,70.09,23.36,1.61,1.61,0,0.81,2.42,0,2.42,55.59,0.81,0.81,18.53,0,0.81,11.28,0.81,5.64
 48-58,0,0,0,146.32,0,0,35,6.31,29.26,22.95,10.33,6.89,17.79,0.57,0.57,1.15,0.57,3.44,2.3,551.43,0,2.3,101.56,64.27,17.21,0,1.72,0,1.72,0.57,0,0,33.28,0.57,0,18.36,0,2.3,9.75,0.57,8.03
 60-70,0,0.98,0,178.64,0.98,0,37.3,5.89,26.5,23.56,26.5,22.58,25.52,0,3.93,8.83,0,5.89,0,778.35,1.96,14.72,87.36,79.5,12.76,1.96,0.98,0,17.67,0.98,0,0,39.26,2.94,0,7.85,0.98,6.87,17.67,3.93,2.94
 72-82,0,3.93,1.96,221.86,4.91,2.94,63.81,5.89,35.34,46.14,32.39,66.75,43.19,1.96,1.96,12.76,1.96,6.87,0,839.32,5.89,16.69,76.57,97.18,6.87,5.89,3.93,0,19.63,4.91,0,0,48.1,0,0,8.83,3.93,24.54,39.27,10.8,2.94
 84-94,1.06,0,7.43,310.11,2.12,5.31,98.77,1.06,65.85,27.61,16.99,92.4,24.43,1.06,1.06,15.93,0,9.56,1.06,546.95,4.25,19.12,42.48,50.98,14.87,4.25,10.62,0,11.68,2.12,0,0,66.91,2.12,0,3.19,5.31,15.93,27.61,12.74,2.12
 96-106,0,1.09,7.65,479.76,10.93,1.09,133.33,2.19,106.01,28.41,43.71,118.03,55.74,3.28,3.28,5.46,2.19,6.56,1.09,591.23,7.65,27.32,38.25,124.58,13.11,13.11,10.93,0,18.58,7.65,0,0,86.33,0,0,8.74,4.37,25.14,30.6,14.21,1.09
108-118,0.77,0.77,9.96,405.96,2.3,6.13,105.7,1.53,148.6,25.28,23.74,121.02,21.45,3.83,3.06,12.26,0,8.43,2.3,514.73,3.06,12.26,32.17,79.66,12.26,9.96,11.49,0,24.51,3.83,0,0,52.85,3.06,0,2.3,8.43,17.62,28.34,9.19,0.77
120,0,0,1.96,321.4,3.92,0,50.95,0,90.15,11.76,15.68,101.91,31.36,0,1.96,13.72,0,7.84,0,395.88,3.92,21.56,25.48,78.39,7.84,5.88,1.96,0,19.6,1.96,1.96,0,47.03,0,0,0,3.92,21.56,31.36,9.8,0
