stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,23.66,0,36.8,0,2.63,60.46,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,525.74,10.51,0,0,162.98,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,50.35,0,6.29,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.28,18.88,0,0,160.5,0,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,4,115,10,33,0,0,0,96,5,0,1,0,1,0,0,1,37,0,0,18,671,27,16,48,42,0,0,1,49,126,1,18,573,0,0,3,0,0
 24-34,0,0,0.82,4.1,47.61,2.46,14.78,0,0,2.46,105.07,0.82,0,0,0,0.82,7.39,0.82,0,34.48,0.82,0,15.6,416.17,1.64,64.85,28.73,0,0,0.82,0,0.82,77.98,0,9.85,385.8,0,0,3.28,0,0
 36-46,0,0,0,0,8.86,0,55.59,0,0,0.81,83.79,0,0,1.61,0,0,7.25,1.61,0,10.47,0,0,3.22,385.92,0,58.81,12.89,0,0,0,0.81,0,37.87,0,0,208.67,0,0,0.81,0,0
 48-58,0,0,0,0,8.03,0,116.48,0.57,0,0,95.25,0,0,0,0.57,0,6.89,0,0,11.48,0,0,0,297.23,0,28.69,11.48,0,0.57,0.57,0.57,0,16.64,0,0,162.39,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,135.45,0,0.98,0,88.34,0,0,0,0.98,0.98,12.76,0,0,5.89,0,0,0,287.59,0,39.26,18.65,0,0,0.98,0,0,6.87,0,0,66.74,0,0.98,0,0,0
 72-82,0,0,3.93,0,6.87,0,89.33,0.98,0,0.98,106.02,3.93,0,0.98,0,0,18.65,0,0,7.85,0,0.98,0,207.13,0,74.61,28.47,0,0,0,0.98,0,7.85,0,0,49.08,0.98,0,0,0,0
 84-94,0,0,3.19,2.12,14.87,0,70.09,0,2.12,1.06,86.03,3.19,0,1.06,0,5.31,25.49,0,0,12.74,0,0,1.06,130.63,0,86.03,42.48,0,0,1.06,1.06,0,15.93,0,0,42.48,0,0,4.25,1.06,1.06
 96-106,0,0,1.09,4.37,5.46,0,38.25,1.09,0,1.09,55.74,2.19,0,0,0,3.28,37.16,0,0,8.74,0,0,0,92.89,0,121.31,51.36,0,0,2.19,2.19,0,15.3,0,0,33.88,2.19,0,0,3.28,0
108-118,0,0,2.3,3.83,6.89,0,37.53,0.77,0,0,58.98,0,0,0,0,0,25.28,0,0,9.19,0.77,0.77,0,133.28,0,85.79,36,0,0,1.53,0,0,14.55,0,0,31.4,0.77,0,0.77,0.77,0
120,0,0,0,0,5.88,0,31.36,1.96,0,0,29.4,1.96,0,0,0,1.96,23.52,0,0,0,0,0,1.96,82.31,0,48.99,27.44,0,0,0,1.96,0,11.76,0,0,21.56,3.92,0,0,0,0
