stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,6.13,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,0,18.4,0,0,0,68.35,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,297.04,15.77,0,0,157.72,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,0,37.76,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,339.87,9.44,0,0,179.38,0,15.73,3.15,44.06,0,3.15,0,0,0
 14-21,0,0,0,1,14,2,0,20,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,6,101,1,0,0,1,0,0,32,1,1,42,17,1,0
 24-34,0,0,0,2.46,7.39,2.46,0,45.15,0.82,0,1.64,1.64,2.46,0.82,0,1.64,1.64,0,0.82,1.64,0,22.16,0,0.82,8.21,116.56,0.82,0.82,0,0,0.82,0,0,1.64,1.64,19.7,8.21,2.46,0
 36-46,0,0,0,0,1.61,0,0,17.72,1.61,0,0,5.64,0.81,0,0,0.81,0.81,0,0,0.81,0,17.72,0,0,7.25,53.17,0.81,0,1.61,0,0.81,0,0,1.61,1.61,0,4.83,0,1.61
 48-58,0,0,0,0,1.15,0,0,22.95,0.57,0,0.57,3.44,0,0.57,0,1.15,1.15,0.57,0,0,0.57,14.92,0,0,4.59,31.56,0,0.57,1.15,0,1.15,0,0,0,1.72,0,4.59,0.57,0.57
 60-70,0,0,0,0,1.96,0.98,0,34.35,3.93,0,4.91,9.82,3.93,0,0,0.98,0,0.98,0,0,0.98,14.72,0,0,7.85,59.87,0,0.98,0.98,0,1.96,0,0,1.96,0.98,0,5.89,0.98,0.98
 72-82,0,0,0.98,0,2.94,0.98,0,41.23,0,0,5.89,28.47,2.94,0,0,4.91,1.96,0,1.96,0.98,0,30.43,0.98,1.96,14.72,59.88,0,0,2.94,0,9.82,0,0,0.98,1.96,0,6.87,0,0
 84-94,0,0,1.06,0,2.12,3.19,0,39.3,0,0,5.31,10.62,4.25,0,0,5.31,2.12,1.06,0,0,0,14.87,1.06,1.06,13.81,32.92,3.19,0,7.43,0,22.3,0,0,2.12,1.06,0,1.06,5.31,0
 96-106,0,0,1.09,0,14.21,0,2.19,34.97,3.28,1.09,1.09,14.21,4.37,0,0,3.28,3.28,2.19,0,3.28,0,44.81,2.19,0,13.11,44.81,1.09,3.28,3.28,0,32.79,0,0,0,1.09,0,1.09,5.46,2.19
108-118,0,0,0.77,1.53,19.92,4.6,3.83,28.34,3.83,4.6,3.06,13.02,3.06,0,0.77,7.66,4.6,2.3,1.53,1.53,0,41.36,0,1.53,18.38,58.98,1.53,0.77,3.06,0,25.28,0,0,1.53,3.83,0,0.77,2.3,1.53
120,0,0,0,0,62.71,7.84,0,27.44,3.92,11.76,3.92,29.4,3.92,0,0,21.56,5.88,0,1.96,5.88,0,54.87,0,1.96,29.4,70.55,0,0,7.84,0,41.16,0,0,1.96,5.88,0,3.92,5.88,0
